Rank_trad,Rank_w,Rank_diff,PlayerId,PlayerName,Position,PlusMinus,PlusMinus_w
6,1,5,8469544,"Patrick Sharp",L,27,12.736
30,2,28,8476455,"Gabriel Landeskog",L,19,11.586
2,3,-1,8475794,"Tyler Seguin",C,34,10.956
88,4,84,8475169,"Evander Kane",L,11,10.856
42,5,37,8467545,"Michael Ryder",R,16,10.72
109,6,103,8470120,"Alexander Semin",R,9,10.053
56,7,49,8473994,"Jamie Benn",L,14,10.011
9,8,1,8462225,"Filip Kuba",D,26,9.304
11,9,2,8470273,"Ian White",D,24,9.294
22,10,12,8470642,"Shea Weber",D,20,9.112
13,11,2,8467876,"Henrik Sedin",C,23,9.109
23,12,11,8466138,"Joe Thornton",C,20,9.021
110,13,97,8474141,"Patrick Kane",R,9,8.933
43,14,29,8474578,"Erik Karlsson",D,16,8.893
295,15,280,8468482,"Dany Heatley",L,1,8.86
296,16,280,8470852,"Matt Moulson",L,1,8.663
34,17,17,8466148,"Marian Hossa",R,18,8.561
10,18,-8,8470358,"Alexandre Burrows",R,25,8.476
89,19,70,8473588,"Erik Condra",R,11,8.429
14,20,-6,8471724,"Kris Letang",D,23,8.406
63,21,42,8467096,"Dan Boyle",D,13,8.376
90,22,68,8466139,"Patrick Marleau",L,11,8.345
111,23,88,8469459,"Mikko Koivu",C,9,8.144
159,24,135,8471226,"Drew Stafford",R,6,8.107
24,25,-1,8470794,"Joe Pavelski",C,20,7.856
702,26,676,8475166,"John Tavares",C,-8,7.631
91,27,64,8470613,"Brent Burns",D,11,7.59
12,28,-16,8470257,"Alexander Steen",L,24,7.554
44,29,15,8470626,"Loui Eriksson",R,16,7.545
45,30,15,8460621,"Daniel Alfredsson",R,16,7.446
31,31,0,8470606,"Dustin Brown",R,19,7.348
25,32,-7,8468085,"Radim Vrbata",R,20,7.175
3,33,-30,8467967,"Chris Kelly",C,32,7.021
38,34,4,8470543,"Chris Kunitz",L,17,6.94
683,35,648,8469770,"Dennis Wideman",D,-7,6.905
32,36,-4,8466393,"Pascal Dupuis",R,19,6.86
223,37,186,8474053,"Logan Couture",C,3,6.835
35,38,-3,8474031,"Kevin Shattenkirk",D,18,6.805
92,39,53,8470201,"Jiri Hudler",C,11,6.793
199,40,159,8468505,"Steve Ott",C,4,6.53
15,41,-26,8458537,"Ray Whitney",L,23,6.343
46,42,4,8468486,"Scott Hartnell",L,16,6.288
160,43,117,8474586,"Jordan Eberle",R,6,6.284
224,44,180,8469581,"Kyle Wellwood",C,3,6.14
64,45,19,8467370,"Mike Fisher",C,13,6.101
161,46,115,8474612,"Travis Hamonic",D,6,5.983
93,47,46,8474589,"Tyler Ennis",C,11,5.877
47,48,-1,8471675,"Sidney Crosby",C,16,5.703
225,49,176,8470110,"Trevor Daley",D,3,5.686
1,50,-49,8470638,"Patrice Bergeron",C,35,5.62
410,51,359,8475158,"Ryan O'Reilly",C,-1,5.62
252,52,200,8475118,"Matt Gilroy",D,2,5.495
16,53,-37,8459444,"Todd Bertuzzi",R,22,5.447
39,54,-15,8471678,"Benoit Pouliot",L,17,5.381
17,55,-38,8474176,"Carl Hagelin",L,22,5.341
136,56,80,8468493,"Ron Hainsey",D,8,5.327
7,57,-50,8469465,"Dan Hamhuis",D,27,5.191
94,58,36,8471691,"Martin Hanzal",C,11,5.181
95,59,36,8473573,"Artem Anisimov",C,11,5.178
