Rank_trad,Rank_w,Rank_diff,PlayerId,PlayerName,Position,Points,Points_w
1,1,0,8471215,"Evgeni Malkin",C,95,27.793
2,2,0,8474564,"Steven Stamkos",C,80,22.874
3,3,0,8475166,"John Tavares",C,66,22.541
8,4,4,8468483,"Marian Gaborik",R,61,21.664
4,5,-1,8469454,"Ilya Kovalchuk",R,63,21.239
17,6,11,8474053,"Logan Couture",C,55,21.2
9,7,2,8474586,"Jordan Eberle",R,61,20.612
15,8,7,8467876,"Henrik Sedin",C,56,20.459
28,9,19,8470626,"Loui Eriksson",R,51,20.417
11,10,1,8466148,"Marian Hossa",R,58,19.498
13,11,2,8462042,"Jarome Iginla",R,57,19.408
18,12,6,8470595,"Eric Staal",C,54,18.922
22,13,9,8469506,"Jason Pominville",R,53,18.786
6,14,-8,8473548,"Phil Kessel",R,62,18.541
25,15,10,8474578,"Erik Karlsson",D,52,18.378
7,16,-9,8469455,"Jason Spezza",C,62,18.28
10,17,-7,8471707,"James Neal",L,60,18.129
19,18,1,8470852,"Matt Moulson",L,54,18.115
47,19,28,8466138,"Joe Thornton",C,47,17.897
29,20,9,8474141,"Patrick Kane",R,51,17.873
5,21,-16,8473512,"Claude Giroux",C,63,17.862
30,22,8,8467545,"Michael Ryder",R,51,17.238
31,23,8,8466378,"Martin St. Louis",R,51,17.15
34,24,10,8470794,"Joe Pavelski",C,50,17.041
32,25,7,8471676,"Bobby Ryan",R,51,16.868
70,26,44,8467371,"Mike Ribeiro",C,42,16.811
50,27,23,8469707,"Pierre-Alexandre Parenteau",R,46,16.725
51,28,23,8466139,"Patrick Marleau",L,46,16.651
56,29,27,8471226,"Drew Stafford",R,45,16.613
26,30,-4,8468486,"Scott Hartnell",L,52,16.572
20,31,-11,8470599,"Milan Michalek",L,54,16.437
40,32,8,8471685,"Anze Kopitar",C,49,16.339
35,33,2,8467396,"Erik Cole",L,50,16.335
45,34,11,8470039,"Tomas Fleischmann",L,48,16.28
36,35,1,8469544,"Patrick Sharp",L,50,16.265
23,36,-13,8468083,"Henrik Zetterberg",L,53,16.012
80,37,43,8475791,"Taylor Hall",L,40,15.709
48,38,10,8466140,"Olli Jokinen",C,47,15.622
57,39,18,8473604,"Jonathan Toews",C,45,15.588
