"Rank_trad","Rank_w","Rank_diff","PlayerId","PlayerName","Position","Assists","Assists_w"
2,1,1,8467876,"Henrik Sedin","C",42,15.5082062502044
1,2,-1,8471215,"Evgeni Malkin","C",46,14.3992745022936
4,3,1,8475166,"John Tavares","C",36,12.1850605231764
11,4,7,8466138,"Joe Thornton","C",29,12.1152526309547
12,5,7,8466148,"Marian Hossa","R",29,11.8509972508096
26,6,20,8467371,"Mike Ribeiro","C",25,10.9052385298091
7,7,0,8470595,"Eric Staal","C",31,10.9010445996784
19,8,11,8466378,"Martin St. Louis","R",27,10.7956438279186
3,9,-6,8473512,"Claude Giroux","C",37,10.734309251198
6,10,-4,8474578,"Erik Karlsson","D",33,10.1039333191566
36,11,25,8474053,"Logan Couture","C",24,9.92607218240342
27,12,15,8469506,"Jason Pominville","R",25,9.59176610875301
13,13,0,8474141,"Patrick Kane","R",29,9.58214174146858
8,14,-6,8468083,"Henrik Zetterberg","L",31,9.45725650076758
28,15,13,8471226,"Drew Stafford","R",25,9.4218756181921
20,16,4,8470626,"Loui Eriksson","R",27,9.36490931671003
15,17,-2,8469707,"Pierre-Alexandre Parenteau","R",28,9.31744248928879
22,18,4,8469454,"Ilya Kovalchuk","R",26,9.30305850005762
14,19,-5,8471218,"Blake Wheeler","R",29,9.26977555507462
29,20,9,8462042,"Jarome Iginla","R",25,9.25961505718721
23,21,2,8471976,"David Desharnais","C",26,9.22348400990097
42,22,20,8468483,"Marian Gaborik","R",23,9.16654259703339
50,23,27,8475158,"Ryan O'Reilly","C",21,9.14654393426405
16,24,-8,8467514,"Pavel Datsyuk","C",28,8.9872095872041
17,25,-8,8470047,"Valtteri Filppula","C",28,8.95574010673744
30,26,4,8474564,"Steven Stamkos","C",25,8.70248055048081
81,27,54,8470642,"Shea Weber","D",18,8.47026741243458
18,28,-10,8469455,"Jason Spezza","C",28,8.46604576484927
21,29,-8,8474586,"Jordan Eberle","R",27,8.29723544991283
60,30,30,8470600,"Ryan Suter","D",20,8.26018540447638
31,31,0,8467338,"Alex Tanguay","L",25,7.99729224145657
37,32,5,8466140,"Olli Jokinen","C",24,7.8931448279865
5,33,-28,8458537,"Ray Whitney","L",35,7.88609273456273
61,34,27,8469639,"Brooks Laich","C",20,7.75373027011857
38,35,3,8471685,"Anze Kopitar","C",24,7.68909701440211
69,36,33,8476454,"Ryan Nugent-Hopkins","C",19,7.54447331281237
70,37,33,8469457,"Stephen Weiss","C",19,7.54157586451043
94,38,56,8475784,"Jeff Skinner","L",17,7.46337424998744
9,39,-30,8470638,"Patrice Bergeron","C",31,7.38553820159227
32,40,-8,8470207,"Joffrey Lupul","L",25,7.30597609184124
39,41,-2,8467330,"David Legwand","C",24,7.30496316775998
105,42,63,8468535,"Antoine Vermette","C",16,7.17959146027897
51,43,8,8474613,"Derek Stepan","C",21,7.16875460624607
71,44,27,8467389,"Brad Richards","C",19,7.11266393916053
82,45,37,8470621,"Corey Perry","R",18,7.05516080290835
52,46,6,8471362,"Mikhail Grabovski","C",21,6.94416932319332
83,47,36,8470606,"Dustin Brown","R",18,6.90500156450048
40,48,-8,8471698,"T.J. Oshie","R",24,6.86912727602837
72,49,23,8469547,"Jordin Tootoo","R",19,6.85594119031602
73,50,23,8470599,"Milan Michalek","L",19,6.848067070377
46,51,-5,8470120,"Alexander Semin","R",22,6.77688650188546
62,52,10,8471346,"Kris Versteeg","L",20,6.76741649709232
24,53,-29,8470610,"Zach Parise","L",26,6.75393698968311
95,54,41,8471514,"Rich Peverley","C",17,6.72944248391907
84,55,29,8470834,"Dustin Byfuglien","R",18,6.72724142391571
41,56,-15,8457981,"Teemu Selanne","R",24,6.71215196774607
25,57,-32,8473962,"Teddy Purcell","R",26,6.6869783539477
106,58,48,8473994,"Jamie Benn","L",16,6.65508248115957
63,59,4,8475149,"Marcus Johansson","C",20,6.64293168992668
122,60,62,8469465,"Dan Hamhuis","D",15,6.60698289392406
47,61,-14,8473473,"Milan Lucic","L",22,6.53799547929511
96,62,34,8469770,"Dennis Wideman","D",17,6.49770472702495
85,63,22,8470852,"Matt Moulson","L",18,6.46749075562916
43,64,-21,8468309,"Mark Streit","D",23,6.46586241486638
64,65,-1,8471676,"Bobby Ryan","R",20,6.44445054565065
86,66,20,8459670,"Kimmo Timonen","D",18,6.39317729792669
140,67,73,8471232,"Lauri Korpikoski","L",14,6.35024125394788
74,68,6,8465009,"Zdeno Chara","D",19,6.33343524011021
75,69,6,8470794,"Joe Pavelski","C",19,6.31333890708428
65,70,-5,8471707,"James Neal","L",20,6.28495430492052
44,71,-27,8471276,"David Krejci","C",23,6.28317422994654
66,72,-6,8466393,"Pascal Dupuis","R",20,6.21268835745472
76,73,3,8469544,"Patrick Sharp","L",19,6.21123662983853
123,74,49,8460577,"Milan Hejduk","R",15,6.19856490157329
10,75,-65,8460542,"Patrik Elias","C",31,6.18996979080786
97,76,21,8475098,"Tyler Bozak","C",17,6.16746856903388
124,77,47,8475791,"Taylor Hall","L",15,6.13774114989114
33,78,-45,8459492,"Vinny Prospal","L",25,6.10215088876118
107,79,28,8466139,"Patrick Marleau","L",16,6.10006848145049
53,80,-27,8448208,"Jaromir Jagr","R",21,5.99869798620642
67,81,-14,8474565,"Alex Pietrangelo","D",20,5.9443899238805
68,82,-14,8460621,"Daniel Alfredsson","R",20,5.94354864896062
108,83,25,8467545,"Michael Ryder","R",16,5.93759097652422
48,84,-36,8469459,"Mikko Koivu","C",22,5.91592181802745
98,85,13,8470281,"Duncan Keith","D",17,5.89867376895458
34,86,-52,8473548,"Phil Kessel","R",25,5.8313673188673
54,87,-33,8468508,"Justin Williams","R",21,5.81624216767085
141,88,53,8470602,"Dion Phaneuf","D",14,5.79529214660047
35,89,-54,8470612,"Ryan Getzlaf","C",25,5.76476820277239
158,90,68,8471274,"Alex Goligoski","D",13,5.73884064802933
109,91,18,8468064,"Martin Erat","R",16,5.72495198377167
99,92,7,8470655,"David Backes","C",17,5.68977520238169
77,93,-16,8471859,"Sergei Kostitsyn","L",19,5.60711306473836
55,94,-39,8470039,"Tomas Fleischmann","L",21,5.50022722845518
110,95,15,8471724,"Kris Letang","D",16,5.47804805685579
159,96,63,8467096,"Dan Boyle","D",13,5.44860204289837
100,97,3,8474641,"Adam Henrique","C",17,5.43186772179381
160,98,62,8470144,"Frans Nielsen","C",13,5.42472305395477
101,99,2,8468482,"Dany Heatley","L",17,5.42325952893035
161,100,61,8473446,"Erik Johnson","D",13,5.36089918916932
78,101,-23,8474040,"Sam Gagner","C",19,5.35653896359183
142,102,40,8470613,"Brent Burns","D",14,5.35471381551694
111,103,8,8467988,"Ryan Malone","L",16,5.31865448802755
196,104,92,8473588,"Erik Condra","R",11,5.3027284977469
125,105,20,8473507,"Jeff Petry","D",15,5.29345864804559
112,106,6,8473604,"Jonathan Toews","C",16,5.2486241226073
