Rank_trad,Rank_w,Rank_diff,PlayerId,PlayerName,Position,Goals,Goals_w
1,1,0,8474564,"Steven Stamkos",C,55,14.171
2,2,0,8471215,"Evgeni Malkin",C,49,13.394
5,3,2,8473548,"Phil Kessel",R,37,12.709
4,4,0,8468483,"Marian Gaborik",R,38,12.497
14,5,9,8474586,"Jordan Eberle",R,34,12.315
6,6,0,8469454,"Ilya Kovalchuk",R,37,11.936
7,7,0,8468486,"Scott Hartnell",L,36,11.932
3,8,-5,8471707,"James Neal",L,40,11.844
15,9,6,8468085,"Radim Vrbata",R,34,11.832
8,10,-2,8470852,"Matt Moulson",L,36,11.648
11,11,0,8467545,"Michael Ryder",R,35,11.3
19,12,7,8474053,"Logan Couture",C,31,11.274
12,13,-1,8467396,"Erik Cole",L,35,11.231
57,14,43,8470626,"Loui Eriksson",R,24,11.052
38,15,23,8470039,"Tomas Fleischmann",L,27,10.78
20,16,4,8470794,"Joe Pavelski",C,31,10.728
23,17,6,8466139,"Patrick Marleau",L,30,10.551
9,18,-9,8471214,"Alex Ovechkin",R,36,10.443
21,19,2,8471676,"Bobby Ryan",R,31,10.423
24,20,4,8475166,"John Tavares",C,30,10.356
27,21,6,8473604,"Jonathan Toews",C,29,10.339
17,22,-5,8462042,"Jarome Iginla",R,32,10.148
22,23,-1,8469544,"Patrick Sharp",L,31,10.054
32,24,8,8471309,"Johan Franzen",R,28,10.022
25,25,0,8470041,"Rick Nash",L,30,9.931
58,26,32,8473449,"Kyle Okposo",R,24,9.896
16,27,-11,8469455,"Jason Spezza",C,34,9.814
41,28,13,8470543,"Chris Kunitz",L,26,9.627
13,29,-16,8470599,"Milan Michalek",L,35,9.589
48,30,18,8475791,"Taylor Hall",L,25,9.572
33,31,2,8469506,"Jason Pominville",R,28,9.194
42,32,10,8460542,"Patrik Elias",C,26,9.105
81,33,48,8476455,"Gabriel Landeskog",L,21,9.065
88,34,54,8473465,"Jamie McGinn",L,20,8.965
28,35,-7,8470920,"David Clarkson",R,29,8.821
34,36,-2,8470358,"Alexandre Burrows",R,28,8.816
98,37,61,8466251,"Jason Chimera",L,19,8.728
49,38,11,8471685,"Anze Kopitar",C,25,8.65
71,39,32,8474141,"Patrick Kane",R,22,8.291
99,40,59,8474578,"Erik Karlsson",D,19,8.274
65,41,24,8473962,"Teddy Purcell",R,23,8.189
10,42,-32,8470621,"Corey Perry",R,36,8.095
50,43,7,8457981,"Teemu Selanne",R,25,8.055
59,44,15,8467370,"Mike Fisher",C,24,8.041
66,45,21,8470595,"Eric Staal",C,23,8.021
82,46,36,8460465,"Petr Sykora",R,21,7.969
43,47,-4,8473994,"Jamie Benn",L,26,7.889
51,48,3,8470598,"Thomas Vanek",L,25,7.882
60,49,11,8468482,"Dany Heatley",L,24,7.807
144,50,94,8469485,"Derek Roy",C,16,7.791
29,51,-22,8475794,"Tyler Seguin",C,29,7.765
30,52,-22,8475169,"Evander Kane",L,29,7.743
67,53,14,8466140,"Olli Jokinen",C,23,7.729
31,54,-23,8466148,"Marian Hossa",R,29,7.647
89,55,34,8469500,"Mike Cammalleri",L,20,7.596
90,56,34,8475784,"Jeff Skinner",L,20,7.485
44,57,-13,8473473,"Milan Lucic",L,26,7.477
100,58,42,8467988,"Ryan Malone",L,19,7.459
18,59,-41,8474157,"Max Pacioretty",L,32,7.433
112,60,52,8469707,"Pierre-Alexandre Parenteau",R,18,7.407
45,61,-16,8471217,"Andrew Ladd",L,26,7.351
72,62,10,8468508,"Justin Williams",R,22,7.326
68,63,5,8458537,"Ray Whitney",L,23,7.233
