GameId,TotalElapsedTime,GD,MD,win_before,loss_before,tie-win_before,tie-loss_before,win_after,loss_after,tie-win_after,tie-loss_after,reward
2011020001,582,0,1,47,52,15,30,244,86,42,50,0.404489204844655
2011020001,1150,1,-1,15,33,8,11,284,284,122,122,0.2995000367620028
2011020001,1197,0,0,257,257,108,108,268,77,57,56,0.3935395106777533
2011020002,1233,0,-1,33,34,10,10,23,13,4,9,0.18226600985221664
2011020002,2682,1,0,271,24,60,66,224,1,9,10,0.22160352011214526
2011020003,304,0,-1,60,61,18,27,164,63,29,36,0.3427958408978379
2011020003,750,-1,-1,31,9,4,10,75,11,11,9,0.22606568832983936
2011020003,980,-2,0,8,95,13,11,43,270,61,51,0.19208893006021305
2011020003,1389,-1,1,40,11,11,3,5,1,2,3,-0.06993006993006995
2011020003,2267,-2,0,6,199,18,14,42,254,59,53,0.3633966244725739
2011020003,2871,-1,0,15,262,26,60,97,97,143,143,0.9067320936639118
2011020004,487,0,0,445,445,165,165,224,97,45,46,0.2822298265159956
2011020004,1519,1,0,65,276,65,52,237,237,106,106,0.473296243013737
2011020004,2270,0,-2,2,1,0,1,34,4,7,5,0.4899999999999999
2011020004,3142,-1,-1,27,0,3,6,242,1,3,6,0.13492063492063483
2011020004,3152,-2,0,229,1,3,6,70,0,1,0,0.03347280334728038
2011020004,3418,-3,0,124,0,0,0,63,0,0,0,0
2011020005,961,0,0,312,312,118,118,267,86,52,63,0.3606539455376665
2011020005,1299,1,0,298,78,55,57,126,7,17,20,0.23647540983606558
2011020005,1780,2,0,154,6,14,18,61,0,0,5,0.08049242424242416
2011020005,1838,3,0,59,0,1,5,25,0,0,0,0.07692307692307682
2011020005,2592,4,0,33,0,0,0,16,0,0,0,0
2011020005,2749,5,0,0,15,0,0,0,54,0,0,0
2011020005,2902,4,-1,0,6,0,0,1,133,1,0,0.02962962962962963
2011020005,3509,3,-1,0,19,0,0,0,230,0,0,0
2011020006,1510,0,-1,22,28,14,11,291,69,57,62,0.4757967988865692
2011020006,2059,-1,0,47,257,57,57,166,166,106,106,0.5608816493104419
2011020006,2156,0,0,145,145,113,113,266,45,45,60,0.4204308288610614
2011020006,2439,-1,0,240,33,58,66,217,2,11,7,0.2860802006610763
2011020006,3019,-2,0,1,238,7,3,10,278,54,27,0.3437489796584713
2011020007,242,0,1,66,67,10,29,147,52,21,26,0.4192191340518057
2011020007,510,1,0,223,93,39,45,67,6,7,6,0.3681976744186045
2011020007,1472,2,0,3,146,24,17,67,279,61,59,0.3022814547097357
2011020007,1545,1,0,271,70,47,62,148,6,20,19,0.2882671272308578
2011020007,1919,2,1,31,0,1,1,62,0,1,5,-0.04322638146167555
2011020008,1259,0,0,260,260,107,107,304,83,58,64,0.4023570285273791
2011020008,2162,1,0,259,43,41,55,200,4,15,23,0.2261721832302006
2011020008,3586,2,0,0,235,0,0,0,257,5,3,0.0490566037735849
2011020009,651,0,0,369,369,130,130,253,94,48,51,0.3338650394960323
2011020009,922,1,0,88,252,28,46,330,330,128,128,0.4682404067253127
2011020009,3028,0,0,73,73,154,154,277,9,29,57,0.45918004831604387
2011020009,3301,-1,0,5,281,41,40,45,45,189,189,1.0441731293229932
2011020009,3848,0,1,0,0,15,4,0,0,0,0,0.5
2011020010,1324,0,0,258,258,110,110,312,85,51,30,0.4321334364198654
