Rank_trad,Rank_w,Rank_diff,PlayerId,PlayerName,Position,PlusMinus,PlusMinus_w
3,1,2,8471685,"Anze Kopitar",C,34,12.573
11,2,9,8476854,"Hampus Lindholm",D,29,11.609
23,3,20,8467400,"Francois Beauchemin",D,24,11.291
12,4,8,8470612,"Ryan Getzlaf",C,29,11.05
7,5,2,8470621,"Corey Perry",R,32,10.421
8,6,2,8476292,"Ondrej Palat",L,32,10.015
56,7,49,8475197,"Tyson Barrie",D,15,10.001
30,8,22,8470794,"Joe Pavelski",C,22,9.1
5,9,-4,8471702,"Matt Niskanen",D,33,8.978
4,10,-6,8473419,"Brad Marchand",L,34,8.881
51,11,40,8475794,"Tyler Seguin",C,16,8.734
144,12,132,8470598,"Thomas Vanek",L,7,8.721
120,13,107,8474162,"Jake Muzzin",D,9,8.376
16,14,2,8466148,"Marian Hossa",R,26,8.36
57,15,42,8475193,"Tomas Tatar",L,15,8.304
21,16,5,8471208,"Dustin Penner",R,25,8.162
145,17,128,8469506,"Jason Pominville",R,7,8.119
90,18,72,8474618,"Marco Scandella",D,11,7.977
17,19,-2,8470613,"Brent Burns",D,26,7.957
102,20,82,8473618,"Mathieu Perreault",C,10,7.774
25,21,4,8470281,"Duncan Keith",D,23,7.764
45,22,23,8471675,"Sidney Crosby",C,18,7.729
161,23,138,8475168,"Matt Duchene",C,6,7.706
9,24,-15,8471709,"Marc-Edouard Vlasic",D,31,7.7
32,25,7,8475726,"Tyler Toffoli",C,21,7.49
36,26,10,8476438,"Brandon Saad",L,20,7.488
37,27,10,8477492,"Nathan MacKinnon",C,20,7.442
219,28,191,8473533,"Jordan Staal",C,3,7.231
33,29,4,8473994,"Jamie Benn",L,21,7.2
256,30,226,8470852,"Matt Moulson",L,2,7.163
52,31,21,8474716,"Jared Spurgeon",D,16,7.104
78,32,46,8467496,"Andrei Markov",D,12,7.085
257,33,224,8470120,"Alexander Semin",R,2,6.966
18,34,-16,8470543,"Chris Kunitz",L,26,6.95
413,35,378,8474090,"Brendan Smith",D,-1,6.801
58,36,22,8469544,"Patrick Sharp",L,15,6.752
162,37,125,8470201,"Jiri Hudler",C,6,6.744
65,38,27,8476381,"Andrew Shaw",C,14,6.693
133,39,94,8471217,"Andrew Ladd",L,8,6.596
22,40,-18,8473604,"Jonathan Toews",C,25,6.554
91,41,50,8475772,"Riley Sheahan",C,11,6.519
92,42,50,8474034,"Patrick Maroon",L,11,6.505
220,43,177,8471218,"Blake Wheeler",R,3,6.408
40,44,-4,8468083,"Henrik Zetterberg",L,19,6.401
103,45,58,8468486,"Scott Hartnell",L,10,6.387
26,46,-20,8474068,"Kyle Turris",C,23,6.276
79,47,32,8474613,"Derek Stepan",C,12,6.24
2,48,-46,8470638,"Patrice Bergeron",C,36,6.214
