Rank_trad,Rank_w,Rank_diff,PlayerId,PlayerName,Position,PlusMinus,PlusMinus_w
3,1,2,8470612,"Ryan Getzlaf",C,33,15.363
6,2,4,8459428,"Viktor Kozlov",C,29,13.636
14,3,11,8471669,"Paul Stastny",C,24,13.618
2,4,-2,8457063,"Nicklas Lidstrom",D,41,12.972
21,5,16,8459429,"Jason Arnott",C,20,12.625
1,6,-5,8467514,"Pavel Datsyuk",C,42,11.908
22,7,15,8466138,"Joe Thornton",C,20,11.729
8,8,0,8471214,"Alex Ovechkin",R,27,11.411
32,9,23,8451774,"Mats Sundin",C,17,10.744
9,10,-1,8462042,"Jarome Iginla",R,27,10.685
7,11,-4,8468083,"Henrik Zetterberg",L,29,10.653
23,12,11,8470599,"Milan Michalek",L,20,10.284
17,13,4,8469544,"Patrick Sharp",L,21,10.001
28,14,14,8462036,"Daymond Langkow",C,19,9.595
24,15,9,8451224,"Mathieu Schneider",D,20,9.189
90,16,74,8460577,"Milan Hejduk",R,10,8.988
5,17,-12,8470281,"Duncan Keith",D,30,8.932
154,18,136,8459596,"Andrew Brunette",L,5,8.897
4,19,-15,8468482,"Dany Heatley",L,31,8.851
12,20,-8,8469665,"Johnny Oduya",D,25,8.798
277,21,256,8468639,"John-Michael Liles",D,1,8.766
15,22,-7,8467478,"Kent Huskins",D,23,8.682
11,23,-12,8469455,"Jason Spezza",C,26,8.245
54,24,30,8469457,"Stephen Weiss",C,13,8.146
47,25,22,8467988,"Ryan Malone",L,14,8.139
55,26,29,8471217,"Andrew Ladd",L,13,7.927
131,27,104,8464957,"J-P Dumont",R,6,7.876
10,28,-18,8467856,"Brian Rafalski",D,27,7.776
25,29,-4,8468542,"Paul Martin",D,20,7.763
278,30,248,8459424,"Chris Pronger",D,1,7.654
38,31,7,8471215,"Evgeni Malkin",C,16,7.625
31,32,-1,8458529,"Alex Kovalev",R,18,7.558
56,33,23,8467344,"Robyn Regehr",D,13,7.499
97,34,63,8464979,"Marco Sturm",L,9,7.475
39,35,4,8469506,"Jason Pominville",R,16,7.439
178,36,142,8467875,"Daniel Sedin",L,4,7.398
65,37,28,8470153,"Pierre-Marc Bouchard",C,12,7.367
57,38,19,8470621,"Corey Perry",R,13,7.35
33,39,-6,8471675,"Sidney Crosby",C,17,7.243
77,40,37,8470201,"Jiri Hudler",C,11,7.119
44,41,3,8469521,"Tomas Plekanec",C,15,6.994
34,42,-8,8474102,"David Perron",L,17,6.713
91,43,48,8467353,"Nik Antropov",C,10,6.37
