Rank_trad,Rank_w,Rank_diff,PlayerId,PlayerName,Position,Goals,Goals_w
1,1,0,8471214,"Alex Ovechkin",R,63,17.708
2,2,0,8469454,"Ilya Kovalchuk",R,51,17.497
3,3,0,8462042,"Jarome Iginla",R,48,16.578
6,4,2,8468504,"Brad Boyes",R,42,15.047
5,5,0,8468083,"Henrik Zetterberg",L,43,14.9
18,6,12,8451774,"Mats Sundin",C,32,14.843
22,7,15,8458525,"Brian Rolston",R,31,14.429
9,8,1,8468483,"Marian Gaborik",R,39,13.335
14,9,5,8470598,"Thomas Vanek",L,34,13.132
4,10,-6,8471215,"Evgeni Malkin",C,47,12.762
37,11,26,8470617,"Mike Richards",C,27,12.033
29,12,17,8469521,"Tomas Plekanec",C,29,11.87
7,13,-6,8468482,"Dany Heatley",L,40,11.687
46,14,32,8470120,"Alexander Semin",R,26,11.63
13,15,-2,8469544,"Patrick Sharp",L,35,11.533
23,16,7,8471685,"Anze Kopitar",C,31,11.509
15,17,-2,8458529,"Alex Kovalev",R,34,11.412
11,18,-7,8470041,"Rick Nash",L,38,11.361
8,19,-11,8467329,"Vincent Lecavalier",C,40,11.135
38,20,18,8467988,"Ryan Malone",L,27,10.918
39,21,18,8466138,"Joe Thornton",C,27,10.907
47,22,25,8470274,"Chris Higgins",L,26,10.821
63,23,40,8460562,"Chris Drury",C,24,10.748
48,24,24,8470597,"Nikolay Zherdev",R,26,10.733
27,25,2,8462036,"Daymond Langkow",C,30,10.474
24,26,-2,8464975,"Daniel Briere",C,31,10.333
17,27,-10,8466140,"Olli Jokinen",C,33,10.25
25,28,-3,8467514,"Pavel Datsyuk",C,31,10.143
54,29,25,8470596,"Nathan Horton",R,25,10.007
10,30,-20,8460621,"Daniel Alfredsson",R,39,9.928
55,31,24,8448208,"Jaromir Jagr",R,25,9.927
40,32,8,8469506,"Jason Pominville",R,27,9.89
30,33,-3,8470604,"Jeff Carter",C,29,9.808
31,34,-3,8460577,"Milan Hejduk",R,29,9.659
34,35,-1,8464957,"J-P Dumont",R,28,9.608
56,36,20,8469670,"Marek Svatos",R,25,9.561
68,37,31,8467396,"Erik Cole",L,23,9.47
16,38,-22,8469455,"Jason Spezza",C,34,9.448
41,39,2,8467875,"Daniel Sedin",L,27,9.446
