GoalId,GameId,AwayTeamId,HomeTeamId,EventNumber,PeriodNumber,EventTime,ScoringTeam,ScoringTeamId,Disposition,GoalScorerNumber,GoalScorerId,NumGoals,FirstAssistNumber,FirstAssistId,NumAssistsFirstPlayer,SecondAssistNumber,SecondAssistId,NumAssistsSecondPlayer,ShotType,Zone,ShotDistance
42412,2007020001,10,19,37,1,00:08:35,LAK,19,PP,13,8469500,1,17,8468598,1,24,8468500,1,Wrist,offensive,27
42413,2007020001,10,19,132,2,00:10:15,LAK,19,PP,4,8445550,1,11,8471685,1,23,8470606,1,Slap,offensive,21
42414,2007020001,10,19,176,3,00:01:10,LAK,19,PP,13,8469500,2,42,8470575,1,11,8471685,2,Slap,offensive,27
42415,2007020001,10,19,228,3,00:13:09,ANA,10,PP,54,8471676,1,25,8459424,1,23,8467400,1,Slap,offensive,15
42416,2007020001,10,19,259,3,00:19:34,LAK,19,SH,26,8462129,1,12,8470649,1,NULL,NULL,NULL,Tip-In,offensive,15
42417,2007020002,19,10,47,1,00:10:49,ANA,10,PP,10,8470621,1,19,8468434,1,25,8459424,2,Wrist,offensive,3
42418,2007020002,19,10,68,1,00:15:19,ANA,10,PP,14,8470543,1,19,8468434,2,10,8470621,1,Wrist,offensive,12
42419,2007020002,19,10,110,2,00:02:53,ANA,10,EV,10,8470621,2,40,8467478,1,33,8467387,1,Slap,offensive,16
42420,2007020002,19,10,119,2,00:04:10,ANA,10,EV,32,8468635,1,44,8459427,1,22,8459587,1,Wrist,offensive,30
42421,2007020002,19,10,142,2,00:08:57,LAK,19,EV,13,8469500,3,7,8459064,1,12,8470649,2,Wrist,offensive,18
42422,2007020003,2,29,25,1,00:03:37,CAR,29,PP,26,8467396,1,12,8470595,1,24,8459547,1,Tip-In,offensive,11
42423,2007020003,2,29,76,1,00:13:01,MTL,2,PP,32,8468309,1,27,8458529,1,79,8467496,1,Slap,offensive,58
42424,2007020003,2,29,299,3,00:09:31,MTL,2,PP,11,8459442,1,79,8467496,2,NULL,NULL,NULL,Snap,offensive,29
42425,2007020003,2,29,320,3,00:12:48,CAR,29,EV,6,8456547,1,11,8468508,1,17,8445735,1,Slap,offensive,57
42427,2007020004,10,9,48,1,00:09:46,DET,9,PP,40,8468083,1,13,8467514,1,5,8457063,1,Wrist,offensive,22
42428,2007020004,10,9,149,2,00:14:32,ANA,10,EV,4,8459444,1,10,8470621,2,19,8468434,3,Wrist,offensive,29
42429,2007020004,10,9,179,2,00:19:18,ANA,10,PP,15,8470612,1,4,8459444,1,NULL,NULL,NULL,Snap,offensive,18
42430,2007020004,10,9,201,3,00:04:04,DET,9,PP,96,8460743,1,40,8468083,1,28,8467856,1,Snap,offensive,13
42432,2007020005,27,1,37,1,00:07:23,OTT,27,EV,20,8468535,1,NULL,NULL,NULL,NULL,NULL,NULL,Wrist,offensive,24
42433,2007020005,27,1,58,1,00:10:39,TOR,1,EV,80,8467353,1,55,8467844,1,13,8451774,1,Wrist,offensive,31
