GameId,TotalElapsedTime,GD,MD,win_before,loss_before,tie-win_before,tie-loss_before,win_after,loss_after,tie-win_after,tie-loss_after,reward
2007020001,515,0,2,2,1,1,0,30,5,4,2,0.20731707317073161
2007020001,1815,1,1,42,9,14,14,178,8,14,9,0.28544606625885777
2007020001,2470,2,1,21,0,1,4,103,1,0,3,0.10711718188353703
2007020001,3189,3,-1,0,28,0,0,0,243,5,3,0.05179282868525896
2007020001,3574,2,-1,29,0,0,0,25,0,0,0,0
2007020002,649,0,1,67,34,22,18,247,77,40,39,0.13102088942857631
2007020002,919,1,1,42,21,3,3,102,9,9,5,0.4681739130434783
2007020002,1373,2,0,114,13,15,9,57,2,2,1,0.15114291817987613
2007020002,1450,3,0,58,2,0,1,9,0,0,0,0.0819672131147542
2007020002,1737,4,0,0,22,1,1,0,83,2,1,-0.06686046511627906
2007020003,217,0,1,92,90,25,27,8,1,1,1,0.611888111888112
2007020003,781,1,-1,16,51,9,5,337,337,65,65,0.4018334254652663
2007020003,2971,0,-1,14,14,13,14,258,15,46,55,0.5363636363636365
2007020003,3168,-1,0,6,252,46,28,78,78,151,151,0.9321039616983217
2007020003,3665,0,-1,0,0,16,11,0,0,0,0,0.5
2007020004,586,0,1,63,78,21,23,239,75,46,21,0.5187486699297722
2007020004,2072,1,0,56,222,45,46,155,155,86,86,0.5063365156473142
2007020004,2358,0,-1,35,27,22,15,37,3,8,5,0.4894225271583762
2007020004,2644,-1,1,3,38,6,6,118,118,112,112,0.79064807219032
2007020005,443,0,0,459,459,138,138,203,83,35,41,0.3125989061328743
2007020005,639,-1,0,39,239,37,40,388,388,134,134,0.5875074199989208
2007020005,839,0,0,297,297,108,108,263,98,44,24,0.3538461538461538
2007020005,879,1,0,86,236,43,38,321,321,117,117,0.39907032869913994
2007020005,2144,0,0,149,149,82,82,235,45,48,51,0.4504791602416932
2007020005,3264,1,0,7,258,34,31,80,80,160,160,0.9909090909090909
2007020005,3777,0,0,0,0,187,187,0,0,0,0,0.5
2007020006,1091,0,0,276,276,92,92,261,80,45,47,0.39693995381062364
2007020006,1263,1,0,250,84,49,59,126,12,12,7,0.3161224313341211
2007020006,1630,2,0,11,154,11,6,73,228,55,52,0.48017668605903896
2007020006,1875,1,0,223,56,54,61,169,3,12,10,0.3566120676121199
2007020006,2215,2,0,167,11,15,12,81,0,0,3,0.13013937282229965
2007020006,2858,3,-1,0,19,0,0,3,226,8,5,0.1115702479338843
2007020006,3430,2,-1,0,39,1,1,0,315,26,27,0.1415031813361612
2007020007,37,0,0,947,947,269,269,22,4,1,5,0.4831414473684211
2007020007,1334,1,0,76,267,58,54,253,253,90,90,0.4235030275846602
2007020007,1787,0,0,199,199,66,66,234,67,59,60,0.41356693620844553
2007020007,2767,-1,0,34,256,54,50,94,94,114,114,0.700434400624756
2007020007,2926,0,0,95,95,118,118,263,15,44,60,0.487402600594843
2007020007,2938,1,0,252,13,42,57,235,3,3,7,0.17560262318326839
2007020007,3182,2,0,235,0,2,5,132,0,0,1,0.013142360032312159
2007020008,498,0,0,434,434,137,137,212,83,37,42,0.3238852936493814
2007020008,1986,1,1,42,7,19,7,30,2,1,1,0.13294117647058815
2007020008,2144,2,0,12,166,12,14,45,235,51,48,0.329323813958301
2007020008,2176,1,0,37,219,49,44,158,158,82,82,0.551922158548233
2007020008,3301,0,1,5,2,18,8,274,7,29,32,0.2291334396597553
2007020009,546,0,-1,67,71,21,25,222,86,41,39,0.36379426266248327
2007020009,1775,-1,0,32,216,58,53,215,215,76,76,0.48155912280197954
2007020009,3368,0,0,55,55,182,182,151,3,27,32,0.43762999940571695
2007020009,3542,1,0,320,0,18,19,224,0,0,0,0.05322128851540623
2007020010,271,0,1,97,76,30,24,170,32,34,34,0.41236743351280786
2007020010,865,1,0,237,88,39,44,102,6,7,11,0.3566760037348272
2007020010,1305,2,0,119,15,11,7,53,1,2,4,0.1434210526315789
2007020010,2654,3,0,103,1,0,1,42,0,1,1,0.005844155844155971
2007020011,1487,0,0,230,230,79,79,243,70,53,51,0.41413471164815724
2007020012,192,0,0,632,632,193,193,130,22,17,23,0.5340719696969697
2007020012,480,-1,-2,3,0,1,0,3,0,1,1,-0.1999999999999999
2007020012,1590,-2,1,3,33,1,3,73,227,48,52,0.45999999999999996
2007020012,3166,-1,1,1,32,5,6,78,78,150,150,0.9198564593301436
2007020012,3492,0,0,12,12,180,180,332,0,27,25,0.4661458333333334
2007020013,2426,0,0,122,122,78,78,260,46,53,57,0.44682692307692307
2007020013,2497,-1,0,38,252,51,55,139,139,105,105,0.626780096042391
2007020013,2571,0,0,118,118,106,106,268,18,57,57,0.5308928571428572
2007020013,3589,1,-1,0,37,1,2,1,1,242,242,1.3979423868312757
2007020014,1935,0,0,172,172,73,73,234,55,56,60,0.4312673217435121
2007020014,2838,1,0,253,25,49,49,228,2,3,8,0.2135053412200936
2007020014,2850,2,0,212,2,3,8,126,0,0,0,0.05333333333333324
2007020014,2878,3,0,0,116,0,0,3,231,8,3,0.1020408163265306
2007020014,3197,2,-1,0,35,2,1,10,268,47,27,0.26898923444976075
2007020015,428,0,0,474,474,137,137,203,83,30,44,0.30455537370430996
2007020015,801,1,0,246,91,45,22,92,5,5,4,0.37287502335139183
2007020015,2051,2,0,175,14,5,5,87,0,1,4,0.122350884859078
2007020015,2255,3,1,15,0,1,1,45,0,1,0,0.05882352941176473
2007020015,3397,4,-1,0,9,0,0,0,146,0,0,0
2007020016,404,0,0,477,477,137,137,197,81,28,44,0.2998650535132621
2007020016,530,1,1,39,5,5,4,56,1,5,1,0.21653189577717874
2007020016,2873,2,1,33,1,0,1,119,0,0,1,0.07738095238095248
2007020016,3108,3,1,18,0,0,0,58,0,0,0,0
2007020017,176,0,0,658,658,196,196,113,39,13,23,0.34801185908615284
2007020017,556,1,0,86,211,39,40,425,425,139,139,0.3519503546099291
2007020017,724,0,0,336,336,120,120,243,84,43,37,0.36473554894607535
2007020017,968,1,-2,2,1,0,0,42,57,12,16,-0.3569553805774277
2007020017,1002,0,-1,44,67,20,22,250,83,41,25,0.5409111012826183
2007020017,1099,-1,0,73,244,44,44,283,283,100,100,0.444128549785643
2007020017,1655,0,0,202,202,79,79,224,67,52,28,0.42277292304150554
2007020017,1703,-1,0,61,212,53,46,225,225,87,87,0.4028639371381307
2007020017,2164,0,0,151,151,82,82,234,41,50,49,0.47376695508480415
2007020017,2825,-1,-1,35,4,8,6,217,3,3,7,0.20762920426579162
2007020018,641,0,-1,64,71,21,20,247,84,43,38,0.42045454545454547
2007020018,723,-1,0,226,81,39,31,84,5,7,7,0.3468877958332262
2007020018,2094,-2,0,7,174,9,12,27,250,51,51,0.3283523603019933
2007020018,2727,-1,0,249,35,48,53,238,2,4,5,0.28333594116726635
2007020019,919,0,0,295,295,106,106,240,85,38,48,0.33741679863601326
2007020019,1361,1,0,260,76,50,56,123,16,15,8,0.22367465504720419
2007020019,1729,2,0,164,13,12,12,82,0,1,2,0.16552531460345324
2007020019,2279,3,-1,0,23,0,0,13,177,8,15,0.2676056338028169
2007020019,2619,2,1,30,1,1,1,106,1,0,3,0.04545454545454532
2007020020,330,0,0,548,548,149,149,191,67,34,35,0.3762937710326914
2007020020,708,-1,0,223,81,36,33,81,4,8,4,0.39907686354716554
2007020020,920,-2,0,96,6,4,5,30,0,1,1,0.12190315315315313
2007020020,2756,-3,0,0,116,2,0,4,228,6,7,0.0763057765479073
2007020021,1427,0,0,246,246,81,81,253,38,58,53,0.5552512666027659
2007020021,1719,1,0,56,206,57,49,225,225,79,79,0.38265160183066366
2007020021,1892,0,0,184,184,73,73,238,63,61,67,0.40809320381304826
2007020021,1985,1,0,53,229,49,49,164,164,73,73,0.48821896513435487
2007020021,2291,0,-1,33,14,13,15,252,38,51,58,0.2374937343358397
2007020021,2395,-1,0,41,241,51,48,128,128,77,77,0.5788809935343449
2007020021,2470,0,0,119,119,85,85,272,45,57,51,0.4599019607843138
2007020021,3578,1,0,141,0,7,8,223,0,0,0,0.051282051282051364
2007020022,163,0,0,675,675,202,202,108,32,13,19,0.40227652409111403
2007020022,274,-1,0,31,169,32,35,600,600,167,167,0.5058694558789778
2007020022,1565,0,1,33,53,23,16,29,12,7,10,0.3897931034482759
2007020022,2193,-1,0,218,38,43,50,179,6,16,12,0.2483554622866138
2007020022,2330,-2,0,9,178,8,12,36,255,61,51,0.3857182244279018
2007020022,2575,-1,0,35,254,55,54,123,123,110,110,0.6481118036534604
2007020022,3806,0,1,0,0,16,10,0,0,0,0,0.5
2007020023,287,0,-1,74,90,27,33,11,8,1,1,0.14136904761904753
2007020023,340,1,0,184,64,32,33,26,1,1,1,0.4109287209430429
2007020024,789,0,-1,54,54,19,16,271,94,44,43,0.35607092023021225
2007020024,1469,-1,1,14,42,15,7,35,22,16,13,0.5038759689922482
2007020024,2507,0,0,128,128,101,101,276,37,55,56,0.4728722089478455
2007020024,2909,1,0,257,14,39,55,241,3,2,7,0.17601386106448647
2007020024,3251,2,0,0,232,5,3,7,264,35,32,0.2890285996055227
2007020025,864,0,0,295,295,111,111,247,95,43,45,0.31678886470386064
2007020025,1500,1,1,43,10,8,11,150,13,13,15,0.21589586969168104
2007020026,62,0,0,881,881,250,250,45,15,7,8,0.3828116710875332
2007020026,553,-1,2,0,2,0,0,57,66,17,21,1.0496894409937887
2007020026,1412,0,-1,43,32,15,9,247,77,61,59,0.2576440076440077
2007020026,2264,-1,-1,44,9,10,9,176,12,15,9,0.21933962264150936
2007020026,3156,-2,0,242,0,2,7,126,0,1,0,0.027888446215139393
2007020027,394,0,-1,72,66,27,27,197,82,27,44,0.23383928571428575
2007020027,999,-1,1,10,47,8,7,299,299,104,104,0.5318100358422939
2007020027,1285,0,0,246,246,79,79,270,87,54,67,0.3742774380431284
2007020027,1436,-1,0,71,234,51,51,260,260,83,83,0.3961755288285901
2007020027,1456,0,0,246,246,82,82,252,71,57,51,0.4272041763341067
2007020027,2778,1,1,2,38,5,8,13,19,6,10,0.5849056603773584
2007020027,3212,0,0,76,76,139,139,262,5,31,45,0.5163943318191063
2007020027,3231,1,0,261,9,27,41,253,0,3,2,0.1668042750332553
2007020027,3578,2,0,0,106,0,0,0,291,8,7,0.07516339869281045
2007020028,220,0,0,605,605,176,176,144,52,24,27,0.3569595711923362
2007020028,1257,1,0,85,246,57,46,266,266,88,88,0.36392512171626434
2007020028,2078,0,1,44,24,19,8,239,56,49,49,0.17980447301459768
2007020028,2149,1,-1,51,13,11,11,31,1,2,3,0.29509742300439984
2007020028,2722,2,0,227,2,4,5,106,0,0,2,0.019296607531901717
2007020028,2938,3,-1,0,22,0,0,3,235,7,3,0.09274193548387097
2007020028,3311,2,1,31,0,0,0,116,0,0,0,0
2007020029,397,0,0,485,485,135,135,195,40,27,45,0.48396290847956286
2007020029,1522,1,1,17,13,7,8,155,5,14,15,0.6232804232804233
2007020029,1763,2,0,158,11,12,12,79,0,1,2,0.15177555920636918
2007020029,3194,3,0,0,123,1,0,0,248,3,5,0.026839717741935484
2007020029,3526,2,0,220,0,2,0,157,0,0,0,0
2007020029,3541,3,0,146,0,0,0,69,0,0,0,0
2007020030,1009,0,-1,44,63,21,25,249,85,41,24,0.5007125657280456
2007020030,1150,-1,0,81,229,21,48,279,279,100,100,0.467018469656992
2007020030,2131,0,1,25,38,10,16,39,13,11,4,0.5859466711386887
2007020030,2504,-1,0,38,256,50,53,141,141,108,108,0.6400412734059664
2007020030,2795,0,0,89,89,109,109,273,31,55,51,0.44913771864991386
2007020031,337,0,-1,73,62,25,28,18,1,4,3,0.61620294599018
2007020031,1299,-1,0,259,81,50,58,126,14,11,7,0.2695524412296562
2007020031,1783,-2,0,8,154,5,13,65,231,59,58,0.5242534301856336
2007020031,1855,-1,-1,46,7,12,7,163,9,11,12,0.13782051282051289
2007020031,2621,-2,-1,1,30,1,1,4,28,6,1,0.3869463869463869
2007020031,3380,-1,0,3,285,28,13,50,50,186,186,1.1661042707743032
2007020032,130,0,0,721,721,211,211,90,11,5,13,0.5926849280484727
2007020032,1532,1,-1,10,22,13,11,223,223,43,43,0.0629699248120301
2007020032,1757,0,-1,38,24,14,15,234,64,60,57,0.24652455977757187
2007020032,2300,-1,-1,37,10,6,10,24,1,2,1,0.36904761904761907
2007020032,2785,-2,1,1,18,1,3,32,276,52,56,0.23411371237458195
2007020032,3162,-1,0,6,253,46,33,79,79,150,150,0.9221854732435855
2007020032,3895,0,-1,0,0,17,11,0,0,0,0,0.5
2007020033,249,0,-1,95,82,25,30,162,30,15,29,0.4590882524839275
2007020033,287,-1,1,16,11,0,1,1,0,0,0,0.8214285714285715
2007020033,2079,-2,0,13,169,8,6,56,241,49,49,0.410798243347972
2007020033,2954,-1,-1,32,3,8,3,243,3,2,8,0.14096467391304351
2007020034,860,0,0,296,296,111,111,249,97,40,45,0.3091120016874078
2007020034,1324,1,0,264,74,53,57,121,17,13,7,0.19809561482820975
2007020034,1722,2,0,7,163,12,12,28,224,59,56,0.36897103851231783
2007020034,2336,1,1,41,8,3,9,196,10,15,3,0.307157494145199
2007020034,2558,2,0,6,212,10,9,35,271,57,56,0.39979658217777914
2007020034,2753,1,0,35,259,55,46,91,91,117,117,0.7090981012658228
2007020034,3163,0,-1,14,8,11,15,266,6,32,49,0.47302880075542963
2007020034,3553,-1,0,307,0,7,7,225,0,0,0,0.021806853582554523
2007020035,918,0,2,3,1,1,0,37,17,3,5,-0.22903225806451627
2007020035,1073,1,1,42,22,3,10,105,12,10,11,0.4476755128929043
2007020035,1667,2,0,13,155,15,12,68,226,57,53,0.4012820512820513
2007020035,2451,1,0,252,43,50,54,192,7,14,9,0.24727358937885255
2007020035,2567,2,0,216,5,9,9,102,1,0,3,0.03232809662903618
2007020035,2868,3,0,118,0,0,0,52,0,1,1,-0.018518518518518462
2007020035,2886,4,0,55,0,1,1,27,0,0,0,0.017543859649122917
2007020035,3473,5,-1,0,5,0,0,0,66,0,0,0
2007020036,390,0,0,492,492,138,138,201,78,14,42,0.29943141435678744
2007020036,1678,1,0,65,209,52,47,223,223,85,85,0.3846358065526967
2007020036,2878,0,0,97,97,114,114,271,23,46,53,0.4779494229586485
2007020037,277,0,0,556,556,160,160,177,32,35,33,0.5380876510094186
2007020037,916,1,0,227,78,38,41,99,9,9,5,0.32449624316939896
2007020037,2297,2,0,11,175,7,12,38,253,57,50,0.3688687339134698
2007020037,2733,1,1,40,1,10,6,239,2,4,5,0.10435087719298251
2007020037,2849,2,0,2,210,8,3,24,266,51,50,0.40836993795373483
2007020037,3551,1,0,308,0,7,15,221,0,0,0,0.04545454545454537
2007020038,411,0,0,474,474,140,140,200,79,28,44,0.3104949098434441
2007020038,850,1,0,235,96,39,45,103,5,8,12,0.3992093373493977
2007020038,869,2,0,5,99,11,7,92,249,44,42,0.41569086651053866
2007020038,1227,1,1,38,7,9,8,20,1,0,1,0.21847507331378296
