Rank_trad,Rank_w,Rank_diff,PlayerId,PlayerName,Position,Points,Points_w
2,1,1,8471675,"Sidney Crosby",C,83,27.359
1,2,-1,8471214,"Alex Ovechkin",R,86,26.507
4,3,1,8469454,"Ilya Kovalchuk",R,70,24.581
3,4,-1,8471215,"Evgeni Malkin",C,79,23.984
9,5,4,8470120,"Alexander Semin",R,63,23.274
14,6,8,8462038,"Shane Doan",R,60,21.577
6,7,-1,8467514,"Pavel Datsyuk",C,68,21.299
11,8,3,8470617,"Mike Richards",C,62,20.84
18,9,9,8466138,"Joe Thornton",C,59,20.524
7,10,-3,8470610,"Zach Parise",L,66,20.481
5,11,-6,8462042,"Jarome Iginla",R,69,20.427
15,12,3,8469455,"Jason Spezza",C,60,20.242
21,13,8,8470612,"Ryan Getzlaf",C,58,19.884
41,14,27,8471266,"David Booth",L,51,19.613
34,15,19,8467371,"Mike Ribeiro",C,54,19.486
8,16,-8,8470604,"Jeff Carter",C,64,19.2
30,17,13,8466378,"Martin St. Louis",R,55,19.113
16,18,-2,8462118,"Marc Savard",C,60,19.079
31,19,12,8468482,"Dany Heatley",L,55,18.992
17,20,-3,8470621,"Corey Perry",R,60,18.911
35,21,14,8469485,"Derek Roy",C,54,18.723
22,22,0,8470595,"Eric Staal",C,58,18.626
28,23,5,8468504,"Brad Boyes",R,56,18.54
10,24,-14,8470041,"Rick Nash",L,63,18.452
36,25,11,8458537,"Ray Whitney",L,54,18.357
23,26,-3,8466148,"Marian Hossa",R,57,18.309
37,27,10,8466392,"Todd White",C,53,18.238
24,28,-4,8467329,"Vincent Lecavalier",C,57,18.204
25,29,-4,8459457,"Jamie Langenbrunner",R,57,17.846
19,30,-11,8467899,"Martin Havlat",L,59,17.738
57,31,26,8460577,"Milan Hejduk",R,45,17.622
12,32,-20,8473563,"Nicklas Backstrom",C,62,17.52
58,33,25,8470626,"Loui Eriksson",R,45,17.333
56,34,22,8473412,"Bryan Little",C,46,17.025
20,35,-15,8469500,"Mike Cammalleri",L,59,16.912
47,36,11,8471309,"Johan Franzen",R,49,16.744
13,37,-24,8467875,"Daniel Sedin",L,61,16.668
59,38,21,8471682,"Devin Setoguchi",R,45,16.447
29,39,-10,8470598,"Thomas Vanek",L,56,16.438
53,40,13,8467351,"Scott Gomez",C,47,16.264
42,41,1,8460621,"Daniel Alfredsson",R,51,16.259
32,42,-10,8460542,"Patrik Elias",C,55,16.177
65,43,22,8458529,"Alex Kovalev",R,44,16.137
38,44,-6,8466139,"Patrick Marleau",L,53,16.022
43,45,-2,8467353,"Nik Antropov",C,51,15.948
60,46,14,8459429,"Jason Arnott",C,45,15.938
49,47,2,8470616,"Ryan Kesler",C,48,15.926
48,48,0,8471276,"David Krejci",C,49,15.891
50,49,1,8466140,"Olli Jokinen",C,48,15.857
39,50,-11,8473604,"Jonathan Toews",C,53,15.735
108,51,57,8469457,"Stephen Weiss",C,35,15.5
51,52,-1,8471242,"Mike Green",D,48,15.326
46,53,-7,8474141,"Patrick Kane",R,50,15.301
66,54,12,8450725,"Mark Recchi",R,44,15.265
44,55,-11,8456887,"Vyacheslav Kozlov",L,51,15.222
