Rank_trad,Rank_w,Rank_diff,PlayerId,PlayerName,Position,PlusMinus,PlusMinus_w
1,1,0,8471276,"David Krejci",C,37,13.301
3,2,1,8469770,"Dennis Wideman",D,35,12.183
4,3,1,8467514,"Pavel Datsyuk",C,35,10.489
2,4,-2,8471218,"Blake Wheeler",R,36,10.162
88,5,83,8470137,"Joni Pitkanen",D,10,9.819
89,6,83,8470626,"Loui Eriksson",R,10,9.803
5,7,-2,8466148,"Marian Hossa",R,31,9.602
55,8,47,8470595,"Eric Staal",C,14,9.133
51,9,42,8473563,"Nicklas Backstrom",C,15,9.037
22,10,12,8471242,"Mike Green",D,22,8.744
127,11,116,8466378,"Martin St. Louis",R,7,8.579
151,12,139,8470597,"Nikolay Zherdev",R,6,8.264
39,13,26,8467856,"Brian Rafalski",D,18,8.247
9,14,-5,8471233,"Travis Zajac",C,28,8.19
33,15,18,8473534,"Patrik Berglund",C,19,8.104
34,16,18,8460542,"Patrik Elias",C,19,8.081
40,17,23,8471436,"Matt Hunwick",D,18,7.799
56,18,38,8471311,"Tyler Kennedy",R,14,7.76
12,19,-7,8467875,"Daniel Sedin",L,25,7.706
384,20,364,8464957,"J-P Dumont",R,-1,7.563
23,21,2,8470120,"Alexander Semin",R,22,7.544
18,22,-4,8459457,"Jamie Langenbrunner",R,23,7.467
47,23,24,8469457,"Stephen Weiss",C,17,7.461
128,24,104,8470104,"Tom Gilbert",D,7,7.436
11,25,-14,8465185,"Willie Mitchell",D,27,7.379
10,26,-16,8470610,"Zach Parise",L,28,7.335
41,27,14,8460743,"Tomas Holmstrom",L,18,7.151
52,28,24,8471682,"Devin Setoguchi",R,15,7.109
101,29,72,8471214,"Alex Ovechkin",R,9,7.069
57,30,27,8470054,"Keith Ballard",D,14,6.86
58,31,27,8466138,"Joe Thornton",C,14,6.854
152,32,120,8467096,"Dan Boyle",D,6,6.834
24,33,-9,8470617,"Mike Richards",C,21,6.704
