"Rank_trad","Rank_w","Rank_diff","PlayerId","PlayerName","Position","Assists","Assists_w"
1,1,0,8471675,"Sidney Crosby","C",51,15.7010304706979
2,2,0,8471215,"Evgeni Malkin","C",46,14.8770001777989
5,3,2,8466138,"Joe Thornton","C",35,13.1527063589633
4,4,0,8467514,"Pavel Datsyuk","C",36,12.8006014364994
18,5,13,8462038,"Shane Doan","R",30,12.4281810578715
7,6,1,8470617,"Mike Richards","C",34,12.2834548593292
10,7,3,8467371,"Mike Ribeiro","C",32,12.1113152089598
14,8,6,8458537,"Ray Whitney","L",31,12.0427000978143
11,9,2,8467351,"Scott Gomez","C",32,11.9251880389348
3,10,-7,8473563,"Nicklas Backstrom","C",40,11.1440213516237
12,11,1,8471214,"Alex Ovechkin","R",32,11.0502559230137
15,12,3,8470120,"Alexander Semin","R",31,10.9419531606471
49,13,36,8469457,"Stephen Weiss","C",22,10.9300960288113
6,14,-8,8462118,"Marc Savard","C",35,10.8910056580927
9,15,-6,8470612,"Ryan Getzlaf","C",33,10.855524684093
21,16,5,8467329,"Vincent Lecavalier","C",29,10.7765151172294
8,17,-9,8462042,"Jarome Iginla","R",34,10.4348397780825
28,18,10,8469485,"Derek Roy","C",27,10.072745351493
22,19,3,8469454,"Ilya Kovalchuk","R",28,9.96052868204744
29,20,9,8467496,"Andrei Markov","D",27,9.85744259540206
32,21,11,8466378,"Martin St. Louis","R",26,9.84451016309116
23,22,1,8469455,"Jason Spezza","C",28,9.69096071793341
24,23,1,8471276,"David Krejci","C",28,9.55146223006147
16,24,-8,8466392,"Todd White","C",31,9.46242704131276
17,25,-8,8467876,"Henrik Sedin","C",31,9.43790172793584
13,26,-13,8467899,"Martin Havlat","L",32,9.40583573050175
39,27,12,8468504,"Brad Boyes","R",24,9.01892821593111
40,28,12,8459442,"Saku Koivu","C",24,8.88669545918601
83,29,54,8460577,"Milan Hejduk","R",18,8.49644317214331
19,30,-11,8459457,"Jamie Langenbrunner","R",30,8.40585637810553
33,31,2,8464957,"J-P Dumont","R",26,8.14207481159945
30,32,-2,8460621,"Daniel Alfredsson","R",27,8.06035342123086
50,33,17,8470724,"Kyle Quincey","D",22,8.01682798838746
34,34,0,8469459,"Mikko Koivu","C",26,8.0072237090544
51,35,16,8468309,"Mark Streit","D",22,7.88268760783848
25,36,-11,8467844,"Jason Blake","L",28,7.88209569180325
52,37,15,8467407,"Brian Gionta","R",22,7.81273482583987
110,38,72,8468493,"Ron Hainsey","D",16,7.78851724198423
58,39,19,8470604,"Jeff Carter","C",21,7.75802981539452
20,40,-20,8467875,"Daniel Sedin","L",30,7.75747602807579
36,41,-5,8474141,"Patrick Kane","R",25,7.71017952804789
41,42,-1,8457063,"Nicklas Lidstrom","D",24,7.61355644893762
26,43,-17,8471685,"Anze Kopitar","C",28,7.58022213674853
27,44,-17,8470621,"Corey Perry","R",28,7.52590959123023
84,45,39,8468535,"Antoine Vermette","C",18,7.48257862666634
53,46,7,8470616,"Ryan Kesler","C",22,7.25146177793495
59,47,12,8467412,"Alexei Ponikarovsky","L",21,7.13153595800779
111,48,63,8467423,"Shawn Horcoff","C",16,7.12369593830832
46,49,-3,8467346,"Simon Gagne","L",23,7.04797988471469
60,50,10,8469506,"Jason Pominville","R",21,7.04391930910718
37,51,-14,8470041,"Rick Nash","L",25,7.01602018450832
54,52,2,8450725,"Mark Recchi","R",22,6.99680555113462
35,53,-18,8456887,"Vyacheslav Kozlov","L",26,6.96312747359208
67,54,13,8474102,"David Perron","L",20,6.92873698302339
42,55,-13,8470610,"Zach Parise","L",24,6.92830898241873
112,56,56,8471273,"Brandon Dubinsky","C",16,6.91742182169527
55,57,-2,8470597,"Nikolay Zherdev","R",22,6.90644704401234
43,58,-15,8455919,"Craig Conroy","C",24,6.85562051544077
56,59,-3,8467856,"Brian Rafalski","D",22,6.84310852424079
61,60,1,8469555,"Christian Ehrhoff","D",21,6.8182862268372
71,61,10,8466181,"Kristian Huselius","L",19,6.79920793956288
62,62,0,8471266,"David Booth","L",21,6.757497104551
113,63,50,8467389,"Brad Richards","C",16,6.72778781664993
85,64,21,8468704,"Antti Miettinen","R",18,6.70040953425925
96,65,31,8467096,"Dan Boyle","D",17,6.67693591613129
135,66,69,8473412,"Bryan Little","C",15,6.65373824175091
44,67,-23,8466285,"Brian Campbell","D",24,6.638206743064
86,68,18,8471669,"Paul Stastny","C",18,6.5622350643401
136,69,67,8468505,"Steve Ott","C",15,6.51696653834225
114,70,44,8459648,"Pavol Demitra","R",16,6.49286530837424
72,71,1,8471233,"Travis Zajac","C",19,6.43108863430808
45,72,-27,8469466,"Ales Hemsky","R",24,6.41273802246844
31,73,-42,8468083,"Henrik Zetterberg","L",27,6.40339922806609
97,74,23,8471362,"Mikhail Grabovski","C",17,6.37495749751237
73,75,-2,8458529,"Alex Kovalev","R",19,6.35344246452202
115,76,39,8468482,"Dany Heatley","L",16,6.33568925313596
206,77,129,8470603,"Andrei Kostitsyn","L",12,6.32159729217648
74,78,-4,8466140,"Olli Jokinen","C",19,6.30733752879451
68,79,-11,8459670,"Kimmo Timonen","D",20,6.27549768779553
87,80,7,8468575,"Dominic Moore","C",18,6.25397036107868
38,81,-43,8460542,"Patrik Elias","C",25,6.2185390134043
88,82,6,8470281,"Duncan Keith","D",18,6.20121873546258
89,83,6,8466148,"Marian Hossa","R",18,6.08335302100312
63,84,-21,8468509,"Niklas Kronwall","D",21,6.02479357068424
64,85,-21,8469500,"Mike Cammalleri","L",21,5.98681180909744
137,86,51,8470543,"Chris Kunitz","L",15,5.96225915713708
69,87,-18,8470638,"Patrice Bergeron","C",20,5.9618135794544
116,88,28,8473534,"Patrik Berglund","C",16,5.95885769717748
117,89,28,8471245,"Dave Bolland","C",16,5.94703776995034
98,90,8,8474161,"Jakub Voracek","R",17,5.92840996319594
90,91,-1,8470201,"Jiri Hudler","C",18,5.92627849462501
70,92,-22,8466035,"Sergei Samsonov","L",20,5.90605197719714
65,93,-28,8470599,"Milan Michalek","L",21,5.90006683952961
47,94,-47,8459596,"Andrew Brunette","L",23,5.89971146559269
153,95,58,8470642,"Shea Weber","D",14,5.89219135155717
118,96,22,8470137,"Joni Pitkanen","D",16,5.84020176983247
91,97,-6,8470162,"Matt Stajan","C",18,5.7115797979479
119,98,21,8470602,"Dion Phaneuf","D",16,5.69081242139632
75,99,-24,8470606,"Dustin Brown","R",19,5.65714794864626
120,100,20,8460561,"Sheldon Souray","D",16,5.6447427718209
121,101,20,8458229,"Keith Tkachuk","L",16,5.59805483444685
92,102,-10,8469639,"Brooks Laich","C",18,5.59373858032536
48,103,-55,8467353,"Nik Antropov","C",23,5.56573621636872
76,104,-28,8473604,"Jonathan Toews","C",19,5.53166009647819
138,105,33,8469469,"R.J. Umberger","C",15,5.51342046145339
93,106,-13,8468789,"Jason Williams","C",18,5.50647978787694
176,107,69,8473449,"Kyle Okposo","R",13,5.45319064944619
99,108,-9,8468486,"Scott Hartnell","L",17,5.44183876074386
122,109,13,8469598,"Kevin Bieksa","D",16,5.43641646321916
66,110,-44,8471217,"Andrew Ladd","L",21,5.42083575847656
139,111,28,8470169,"Gregory Campbell","C",15,5.41660959633476
77,112,-35,8470595,"Eric Staal","C",19,5.39911248412925
226,113,113,8467330,"David Legwand","C",11,5.36149862482188
154,114,40,8456464,"Bill Guerin","R",14,5.35907543489757
177,115,62,8469470,"Carlo Colaiacovo","D",13,5.35139011316328
100,116,-16,8471735,"Keith Yandle","D",17,5.34747169425344
78,117,-39,8459444,"Todd Bertuzzi","R",19,5.34115815362984
140,118,22,8473682,"Andrew Ebbett","C",15,5.33242545492486
101,119,-18,8471514,"Rich Peverley","C",17,5.32055436614023
79,120,-41,8469622,"Ryane Clowe","L",19,5.24675518955891
123,121,2,8471234,"Wojtek Wolski","L",16,5.24296406280275
178,122,56,8471702,"Matt Niskanen","D",13,5.21967933618957
155,123,32,8470740,"Lee Stempniak","R",14,5.16781082802821
80,124,-44,8468695,"Matthew Lombardi","C",19,5.15881982400109
57,125,-68,8458517,"Scott Niedermayer","D",22,5.14170088758029
102,126,-24,8471185,"Curtis Glencross","L",17,5.13571284690388
81,127,-46,8470794,"Joe Pavelski","C",19,5.13194725345557
103,128,-25,8470054,"Keith Ballard","D",17,5.12825541856897
141,129,12,8471218,"Blake Wheeler","R",15,4.99730534179725
124,130,-6,8445735,"Rod Brind'Amour","C",16,4.96821145512684
104,131,-27,8471242,"Mike Green","D",17,4.94057230917603
207,132,75,8460743,"Tomas Holmstrom","L",12,4.86211289603248
