Rank_trad,Rank_w,Rank_diff,PlayerId,PlayerName,Position,Points,Points_w
425,459,-34,8470609,"Steve Bernier",R,10,2.608
426,460,-34,8473933,"Ben Lovejoy",D,10,2.586
462,461,1,8470630,"Kevin Klein",D,8,2.558
502,462,40,8473646,"Ryan Carter",C,6,2.554
463,463,0,8467344,"Robyn Regehr",D,8,2.528
382,464,-82,8475167,"Victor Hedman",D,12,2.516
464,465,-1,8470986,"Darryl Boyce",C,8,2.5
427,466,-39,8470203,"Greg Mauldin",L,10,2.495
503,467,36,8471324,"Liam Reddox",L,6,2.49
465,468,-3,8469476,"Tim Gleason",D,8,2.479
466,469,-3,8471483,"Kyle Wilson",C,8,2.459
383,470,-87,8469470,"Carlo Colaiacovo",D,12,2.454
428,472,-44,8474571,"Mikkel Boedker",L,10,2.425
484,471,13,8474164,"Jonathon Blum",D,7,2.425
446,473,-27,8468162,"Jerred Smithson",C,9,2.4
384,474,-90,8470151,"Jay Bouwmeester",D,12,2.37
467,475,-8,8471807,"Tom Wandell",C,8,2.368
468,476,-8,8475172,"Nazem Kadri",C,8,2.365
485,477,8,8474579,"Luca Sbisa",D,7,2.363
385,478,-93,8469684,"Milan Jurcina",D,12,2.355
447,479,-32,8468101,"Radek Martinek",D,9,2.299
448,480,-32,8459514,"Jamal Mayers",R,9,2.294
504,481,23,8462225,"Filip Kuba",D,6,2.269
486,482,4,8471668,"Mattias Ritola",C,7,2.244
469,483,-14,8467400,"Francois Beauchemin",D,8,2.242
449,484,-35,8474716,"Jared Spurgeon",D,9,2.22
487,485,2,8473453,"Trevor Lewis",C,7,2.187
470,486,-16,8470180,"Eric Nystrom",L,8,2.167
488,487,1,8474102,"David Perron",L,7,2.135
489,488,1,8468213,"Jim Vandermeer",D,7,2.13
505,489,16,8471490,"Adam Cracknell",R,6,2.11
506,490,16,8468577,"Niclas Wallin",D,6,2.07
408,491,-83,8469465,"Dan Hamhuis",D,11,2.066
507,492,15,8474153,"Michal Repik",R,6,2.055
508,493,15,8467365,"John Erskine",D,6,2.052
490,494,-4,8471521,"Brad Staubitz",R,7,2.047
563,495,68,8462176,"Brent Sopel",D,4,2.017
491,496,-5,8470159,"Boyd Gordon",C,7,2.005
492,497,-5,8469755,"Brandon Segal",R,7,2.005
