GoalId,GameId,AwayTeamId,HomeTeamId,EventNumber,PeriodNumber,EventTime,ScoringTeam,ScoringTeamId,Disposition,GoalScorerNumber,GoalScorerId,NumGoals,FirstAssistNumber,FirstAssistId,NumAssistsFirstPlayer,SecondAssistNumber,SecondAssistId,NumAssistsSecondPlayer,ShotType,Zone,ShotDistance
19331,2010020001,2,1,35,1,00:06:42,TOR,1,EV,37,8470283,1,3,8470602,1,NULL,NULL,NULL,Tip-In,offensive,22
19332,2010020001,2,1,49,1,00:08:57,TOR,1,EV,81,8473548,1,42,8475098,1,8,8469460,1,Wrist,offensive,14
19333,2010020001,2,1,68,1,00:12:19,MTL,2,EV,17,8471310,1,NULL,NULL,NULL,NULL,NULL,NULL,Snap,offensive,11
19334,2010020001,2,1,223,3,00:01:36,TOR,1,EV,16,8470667,1,41,8473579,1,84,8471362,1,Backhand,offensive,21
19335,2010020001,2,1,232,3,00:02:28,MTL,2,EV,15,8467831,1,40,8470654,1,57,8471678,1,Snap,offensive,11
19336,2010020002,7,15,146,2,00:02:51,PHI,7,PP,48,8464975,1,18,8470617,1,22,8474551,1,Tip-In,offensive,17
19337,2010020002,7,15,207,2,00:17:15,PHI,7,EV,11,8467361,1,36,8473932,1,21,8474037,1,Wrist,offensive,7
19338,2010020002,7,15,228,3,00:00:44,PIT,15,EV,48,8471311,1,7,8468542,1,58,8471724,1,Snap,offensive,21
19339,2010020002,7,15,250,3,00:04:55,PHI,7,SH,28,8473512,1,NULL,NULL,NULL,NULL,NULL,NULL,Wrist,offensive,11
19340,2010020002,7,15,252,3,00:05:14,PIT,15,PP,3,8471274,1,4,8469760,1,14,8470543,1,Tip-In,offensive,16
19341,2010020003,29,20,18,1,00:03:33,MIN,20,EV,48,8471670,1,9,8469459,1,21,8470803,1,Wrist,offensive,12
19342,2010020003,29,20,114,1,00:19:50,CAR,29,PP,16,8474091,1,36,8469638,1,4,8473571,1,Tip-In,offensive,10
