GameId,TotalElapsedTime,GD,MD,win_before,loss_before,tie-win_before,tie-loss_before,win_after,loss_after,tie-win_after,tie-loss_after,reward
2010020001,402,0,0,510,510,174,174,195,67,37,43,0.3552631578947367
2010020001,537,1,0,207,73,42,47,62,7,1,9,0.23189598984597445
2010020001,739,2,0,6,77,5,5,41,250,49,48,0.29730628533422016
2010020001,2496,1,0,208,28,62,58,234,3,12,12,0.25125920185974426
2010020001,2548,2,0,3,226,5,10,30,226,57,67,0.5276531492666091
2010020002,1371,0,-1,32,34,16,7,245,87,63,59,0.3294807701826463
2010020002,2235,-1,0,219,37,50,45,109,5,8,15,0.15654958720652148
2010020002,2444,-2,0,3,199,11,14,36,223,63,64,0.4937344502522198
2010020002,2695,-1,1,21,1,7,7,30,0,0,1,0.217741935483871
2010020002,2714,-2,1,0,30,1,0,21,243,60,67,0.5211616203283558
2010020003,213,0,0,629,629,211,211,120,47,31,31,0.3285532335204824
2010020003,1190,1,-1,11,37,9,7,252,252,112,112,0.41947115384615385
2010020003,1558,0,0,225,225,97,97,244,79,65,59,0.3639202690121861
2010020003,1792,-1,1,10,33,12,5,207,207,107,107,0.3537154989384289
2010020003,1876,0,-2,1,1,0,0,33,5,3,9,0.6199999999999999
2010020003,2283,-1,0,201,41,54,48,218,5,6,9,0.2980750439710768
2010020003,3399,-2,1,0,20,1,0,2,351,29,33,0.1336775674125072
2010020004,277,0,-1,81,75,23,32,140,67,32,35,0.24577092053827798
2010020004,990,-1,0,92,241,61,61,293,293,109,109,0.32897873271007594
2010020004,1573,0,0,229,229,100,100,248,74,63,59,0.3818080998932062
2010020004,2031,1,1,32,8,9,5,198,2,21,17,0.30065359477124165
2010020004,2304,2,0,5,206,8,6,39,219,53,61,0.5163799283154122
2010020004,3025,1,-1,3,37,6,11,90,90,147,147,0.8013546524539197
2010020004,3820,0,0,0,0,185,185,0,0,0,0,0.5
2010020005,544,0,1,58,62,19,17,213,72,48,50,0.39731873870255063
2010020005,2484,1,-1,33,5,11,4,19,1,2,1,0.13371616078753057
