"Rank_trad","Rank_w","Rank_diff","PlayerId","PlayerName","Position","Assists","Assists_w"
2,1,1,8467876,"Henrik Sedin","C",44,14.6337230968727
7,2,5,8467338,"Alex Tanguay","L",32,11.6854662833017
1,3,-2,8466378,"Martin St. Louis","R",45,11.3233924745506
17,4,13,8458537,"Ray Whitney","L",27,10.904919844807
4,5,-1,8466138,"Joe Thornton","C",33,10.7024740029099
34,6,28,8471669,"Paul Stastny","C",22,10.4251782842531
5,7,-2,8467875,"Daniel Sedin","L",33,10.2904883644097
11,8,3,8470667,"Clarke MacArthur","L",30,10.2788001610669
21,9,12,8470612,"Ryan Getzlaf","C",26,10.1949858045413
3,10,-7,8473512,"Claude Giroux","C",34,10.0833741634528
8,11,-3,8467389,"Brad Richards","C",32,10.0410170658847
78,12,66,8469639,"Brooks Laich","C",18,10.0209148703472
13,13,0,8471214,"Alex Ovechkin","R",29,9.71997245277161
9,14,-5,8468083,"Henrik Zetterberg","L",32,9.64965247395627
26,15,11,8462038,"Shane Doan","R",25,9.58598025819036
18,16,2,8470626,"Loui Eriksson","R",27,9.24451531788325
27,17,10,8469622,"Ryane Clowe","L",25,9.14248799500999
29,18,11,8471676,"Bobby Ryan","R",24,8.99996738826743
6,19,-13,8467371,"Mike Ribeiro","C",33,8.96256772154616
35,20,15,8474564,"Steven Stamkos","C",22,8.57015547906388
10,21,-11,8471276,"David Krejci","C",32,8.55757312685336
12,22,-10,8471685,"Anze Kopitar","C",30,8.44551911043262
54,23,31,8469454,"Ilya Kovalchuk","R",19,8.26890813367782
55,24,31,8470828,"Toby Enstrom","D",19,8.18395819255437
56,25,31,8474589,"Tyler Ennis","C",19,7.97096086936214
79,26,53,8458943,"Cory Stillman","L",18,7.87564575446046
14,27,-13,8457981,"Teemu Selanne","R",29,7.75031406757828
19,28,-9,8473563,"Nicklas Backstrom","C",27,7.68621673826037
22,29,-7,8470794,"Joe Pavelski","C",26,7.6385214739153
41,30,11,8465200,"Tomas Kaberle","D",21,7.54405573786592
45,31,14,8469521,"Tomas Plekanec","C",20,7.4327623802539
57,32,25,8470222,"James Wisniewski","D",19,7.39416143314797
36,33,3,8470616,"Ryan Kesler","C",22,7.38454074869069
37,34,3,8470598,"Thomas Vanek","L",22,7.37723821327381
46,35,11,8468504,"Brad Boyes","R",20,7.35830852602682
15,36,-21,8470621,"Corey Perry","R",28,7.21193595788383
58,37,21,8469485,"Derek Roy","C",19,7.10642039561212
42,38,4,8469466,"Ales Hemsky","R",21,7.09025976956526
130,39,91,8473412,"Bryan Little","C",15,7.08974771632341
23,40,-17,8462042,"Jarome Iginla","R",26,7.06029088999751
80,41,39,8460577,"Milan Hejduk","R",18,7.05505601867226
16,42,-26,8473604,"Jonathan Toews","C",28,7.04460141877696
131,43,88,8470618,"Anthony Stewart","R",15,7.0443908932287
88,44,44,8474551,"Ville Leino","L",17,7.03180731553075
43,45,-2,8469459,"Mikko Koivu","C",21,6.9216083221425
59,46,13,8459596,"Andrew Brunette","L",19,6.88479666282166
152,47,105,8470281,"Duncan Keith","D",14,6.88356600508576
24,48,-24,8470595,"Eric Staal","C",26,6.85361878122126
47,49,-2,8474031,"Kevin Shattenkirk","D",20,6.84743859257006
48,50,-2,8469638,"Jussi Jokinen","L",20,6.80324609453741
49,51,-2,8469462,"Tuomo Ruutu","L",20,6.75388527751751
60,52,8,8471362,"Mikhail Grabovski","C",19,6.71847181024066
112,53,59,8471218,"Blake Wheeler","R",16,6.68185583151831
113,54,59,8470603,"Andrei Kostitsyn","L",16,6.6656406401117
50,55,-5,8474161,"Jakub Voracek","R",20,6.61719763300777
38,56,-18,8473548,"Phil Kessel","R",22,6.58976955515154
25,57,-32,8470617,"Mike Richards","C",26,6.57240836349256
39,58,-19,8471735,"Keith Yandle","D",22,6.53950162889315
44,59,-15,8475168,"Matt Duchene","C",21,6.45199149275556
81,60,21,8457063,"Nicklas Lidstrom","D",18,6.44400417953568
89,61,28,8470162,"Matt Stajan","C",17,6.41231645630299
90,62,28,8473994,"Jamie Benn","L",17,6.37298970306766
40,63,-23,8474141,"Patrick Kane","R",22,6.33420545080274
91,64,27,8470201,"Jiri Hudler","C",17,6.29069195331308
61,65,-4,8475166,"John Tavares","C",19,6.28673937995188
28,66,-38,8469455,"Jason Spezza","C",25,6.22004308688816
51,67,-16,8468518,"Tomas Kopecky","R",20,6.20380517079673
62,68,-6,8470834,"Dustin Byfuglien","R",19,6.17118520092087
31,69,-38,8467463,"Mikael Samuelsson","R",23,6.14558880893977
169,70,99,8471742,"Cody Franson","D",13,6.11242672852469
63,71,-8,8470144,"Frans Nielsen","C",19,6.10359328617484
32,72,-40,8467514,"Pavel Datsyuk","C",23,6.09753158325382
82,73,9,8469707,"Pierre-Alexandre Parenteau","R",18,6.0947240269007
64,74,-10,8470640,"Matthew Carle","D",19,6.09017555618103
65,75,-10,8469469,"R.J. Umberger","C",19,5.96796556252797
66,76,-10,8468064,"Martin Erat","R",19,5.96294208552405
92,77,15,8469555,"Christian Ehrhoff","D",17,5.94942691790004
114,78,36,8468085,"Radim Vrbata","R",16,5.9199585566003
20,79,-59,8467899,"Martin Havlat","L",27,5.91277415980686
83,80,3,8471677,"Jack Johnson","D",18,5.90187323169375
67,81,-14,8473534,"Patrik Berglund","C",19,5.85859819866181
93,82,11,8470120,"Alexander Semin","R",17,5.84403245266412
84,83,1,8469544,"Patrick Sharp","L",18,5.83345594616938
94,84,10,8464989,"Matt Cullen","C",17,5.80335047777198
170,85,85,8470039,"Tomas Fleischmann","L",13,5.77572095302841
33,86,-53,8470638,"Patrice Bergeron","C",23,5.7291213171661
85,87,-2,8466215,"Joe Corvo","D",18,5.71992140120625
95,88,7,8473962,"Teddy Purcell","R",17,5.70280424825289
96,89,7,8474586,"Jordan Eberle","R",17,5.679939044546
153,90,63,8470604,"Jeff Carter","C",14,5.6771025056629
233,91,142,8474218,"Jason Demers","D",10,5.67061978597251
132,92,40,8467396,"Erik Cole","L",15,5.61658485508287
115,93,22,8459442,"Saku Koivu","C",16,5.60493161078879
86,94,-8,8473544,"Derick Brassard","C",18,5.56380471442682
116,95,21,8468505,"Steve Ott","C",16,5.52785580943883
154,96,58,8474059,"Linus Omark","L",14,5.52587961218043
68,97,-29,8468639,"John-Michael Liles","D",19,5.49934894612568
69,98,-29,8467351,"Scott Gomez","C",19,5.47665336531027
70,99,-29,8470041,"Rick Nash","L",19,5.44466264989379
97,100,-3,8475169,"Evander Kane","L",17,5.43992910417585
