GameId,TotalElapsedTime,GD,MD,win_before,loss_before,tie-win_before,tie-loss_before,win_after,loss_after,tie-win_after,tie-loss_after,reward
2012020014,1343,1,0,47,177,40,38,172,172,67,67,0.438180609049849
2012020014,1497,0,-1,28,15,9,9,166,49,43,42,0.17267759562841528
2012020014,2154,-1,1,5,25,1,6,103,103,63,63,0.7032725496580918
2012020014,3297,0,1,2,3,10,12,183,3,24,23,0.542203147353362
2012020014,3373,1,0,183,2,19,20,144,0,2,1,0.10034013605442171
2012020014,3552,2,0,120,0,0,0,112,0,0,0,0
2012020015,108,0,-1,38,23,11,7,69,23,9,15,0.14502400698384993
2012020015,595,-1,2,1,1,2,0,26,32,10,4,-0.4444444444444444
2012020015,905,0,0,203,203,71,71,162,49,40,32,0.41107399860720634
2012020015,1130,-1,0,156,48,36,23,63,13,7,6,0.09292092109198105
2012020015,1751,-2,-1,18,0,3,0,44,2,0,0,-0.08695652173913038
2012020015,2706,-3,0,69,0,3,0,17,0,0,0,0
2012020015,2764,-4,0,0,31,0,0,0,74,1,3,0.0641025641025641
2012020015,3285,-3,-1,0,12,0,0,0,15,0,0,0
2012020015,3488,-2,0,133,0,2,1,94,0,0,0,0.007352941176470536
2012020016,741,0,1,26,33,9,5,160,54,26,33,0.45611922324251103
2012020016,2032,1,-1,9,22,5,4,103,103,62,62,0.38787878787878793
2012020016,2105,0,0,99,99,28,28,144,43,39,29,0.43878338737069633
2012020016,2290,-1,0,133,35,36,25,124,7,5,7,0.2679940147189054
2012020016,3540,-2,-2,2,0,0,0,16,0,0,0,0
2012020017,491,0,0,271,271,94,94,143,49,14,27,0.3347521900170497
2012020018,658,0,0,222,222,89,89,155,56,16,15,0.33211979484999066
2012020018,2058,1,0,139,34,41,30,113,8,10,7,0.23497267759562826
2012020018,2396,2,0,3,104,7,7,0,0,0,0,-0.2231404958677686
2012020018,3245,1,-1,1,25,5,4,33,33,112,112,0.929064039408867
2012020019,219,0,0,396,396,121,121,90,29,16,21,0.37656846699399893
2012020019,657,1,-1,10,22,3,1,234,234,92,92,0.3911042944785276
2012020019,1548,0,0,140,140,54,54,161,55,44,43,0.3558742472185362
2012020019,1790,1,0,44,146,33,45,125,125,56,56,0.4121588191638492
2012020019,2254,0,0,94,94,58,58,133,43,36,29,0.33203210307927483
2012020019,2304,-1,0,130,36,38,26,124,5,9,6,0.3149758454106281
2012020019,2414,-2,0,108,5,4,5,74,0,1,0,0.12295081967213112
2012020019,2678,-3,0,0,73,0,3,0,145,8,7,0.10427631578947369
2012020019,2728,-2,0,0,133,7,3,23,152,20,36,0.4092574092574092
2012020019,2750,-1,0,153,20,36,37,135,1,4,5,0.2647322680123353
2012020020,118,0,0,468,468,150,150,63,21,8,7,0.3836912817495341
2012020020,852,-1,0,51,149,29,30,215,215,80,80,0.40200248674824945
2012020021,1610,0,1,23,22,4,11,165,54,47,36,0.4398454746136866
2012020021,2183,1,0,132,39,35,31,123,5,8,8,0.3349156118143458
2012020021,2255,2,0,123,5,11,7,64,0,1,0,0.11643835616438356
2012020021,2491,3,0,77,0,3,0,35,0,0,0,0
2012020021,2542,4,0,0,32,0,0,0,78,0,3,0.037037037037037035
2012020021,2846,3,0,0,70,1,2,1,133,4,2,0.030919765166340506
2012020021,2880,2,0,2,130,3,3,14,164,20,33,0.34302653867871263
2012020022,550,0,0,262,262,88,88,150,52,30,15,0.3925043377674956
2012020022,628,1,0,59,141,30,30,241,241,91,91,0.33704819277108433
2012020022,904,0,-1,22,10,14,6,161,49,40,32,0.03900709219858153
2012020022,1033,-1,1,5,24,5,6,186,186,76,76,0.4950381679389313
2012020022,1973,0,1,11,20,5,11,137,44,48,36,0.6171818546768365
2012020022,3130,1,0,10,168,32,23,57,57,93,93,0.8507725321888413
2012020023,531,0,0,264,264,92,92,149,52,28,27,0.3590677668539326
2012020023,1491,-1,0,151,40,42,41,90,12,1,5,0.17308732089753986
2012020023,3498,-2,1,0,11,0,0,1,217,15,5,0.15546218487394958
2012020024,642,0,1,28,19,9,9,152,59,31,30,0.1789592760180997
2012020024,1927,1,0,134,43,46,31,104,7,6,10,0.2716535433070867
2012020024,3455,2,0,137,0,2,1,96,0,0,0,0.007142857142857092
2012020024,3536,3,0,98,0,0,0,40,0,0,0,0
2012020025,1270,0,0,176,176,67,67,171,50,44,36,0.41031267517055636
2012020025,2046,-1,0,141,37,42,29,116,8,9,7,0.2493689041881813
2012020025,2120,-2,0,4,114,7,9,40,135,30,39,0.5022632737949596
2012020025,2604,-1,1,3,9,8,7,97,97,67,67,0.1301942186088528
2012020025,2923,0,1,4,5,4,11,169,13,34,37,0.6259881422924902
2012020025,3236,1,0,8,173,21,22,36,36,111,111,1.0204081632653061
2012020026,66,0,0,541,541,167,167,33,9,4,4,0.4420621468926553
2012020026,443,-1,0,142,40,22,31,28,7,4,2,0.08209652309289055
2012020026,653,-2,0,38,5,5,4,11,0,0,0,0.26923076923076933
2012020026,1014,-3,1,0,2,0,0,7,33,5,3,0.5625
2012020026,1174,-2,0,10,61,3,8,51,159,33,39,0.3194084068500259
2012020026,1273,-1,1,7,29,2,3,183,183,66,66,0.6203349985307083
2012020026,2642,0,0,97,97,68,68,155,21,38,31,0.49598021026592454
2012020026,3075,-1,0,171,10,26,29,131,1,1,6,0.1500731618095354
2012020026,3244,-2,0,0,133,1,3,8,181,23,12,0.2938607924921794
2012020027,602,0,0,241,241,86,86,150,57,17,28,0.30500946555992425
2012020027,754,1,-1,9,22,4,6,227,227,87,87,0.358047226969085
2012020027,986,0,-1,16,24,9,10,182,53,36,33,0.5258140053523639
2012020027,2072,-1,0,135,34,42,29,117,7,10,7,0.25523049645390056
2012020027,2354,-2,0,107,3,6,5,69,0,1,0,0.09090909090909091
2012020027,3524,-3,1,0,15,0,0,0,122,0,0,0
2012020028,318,0,0,355,355,113,113,119,41,21,25,0.359856028545349
2012020028,696,-1,0,155,57,28,28,21,5,5,7,0.08248232521602511
2012020028,1415,-2,1,0,11,1,1,45,168,39,48,0.48923076923076925
2012020028,2497,-1,0,142,35,41,38,137,3,8,3,0.3622723509933775
2012020028,2997,-2,-1,9,0,0,1,82,0,1,0,0.09999999999999995
2012020029,206,0,0,397,397,128,128,86,25,16,9,0.4442717086834734
2012020029,804,1,2,4,0,0,0,6,0,1,0,0
2012020029,1473,2,-1,0,15,0,3,47,166,42,45,0.5766666666666667
2012020029,1711,1,1,22,6,1,4,99,6,7,8,0.318181818181818
2012020029,2065,2,0,107,4,9,7,66,1,0,0,0.08825948995181555
2012020030,67,0,0,537,537,167,167,34,9,4,4,0.45001949643493766
2012020030,1175,1,1,19,2,5,3,65,8,8,4,0.006085192697768679
2012020030,1364,2,0,67,12,3,4,2,0,0,0,0.32558139534883723
2012020031,341,0,0,340,340,112,112,127,40,24,29,0.3806516492357201
2012020031,2734,-1,0,150,20,35,35,135,0,5,3,0.291520979020979
2012020031,3596,-2,0,0,142,0,0,0,162,1,0,0.012269938650306749
2012020032,362,0,0,332,332,103,103,125,44,22,28,0.35192883010549525
