Rank_trad,Rank_w,Rank_diff,PlayerId,PlayerName,Position,Goals,Goals_w
2,1,1,8474564,"Steven Stamkos",C,29,9.74
3,2,1,8475166,"John Tavares",C,28,8.962
5,3,2,8473604,"Jonathan Toews",C,23,8.243
8,4,4,8474161,"Jakub Voracek",R,22,8.049
1,5,-4,8471214,"Alex Ovechkin",R,32,7.812
13,6,7,8473548,"Phil Kessel",R,20,7.642
10,7,3,8474053,"Logan Couture",C,21,7.633
4,8,-4,8470604,"Jeff Carter",C,25,7.479
6,9,-3,8473482,"Jiri Tlusty",L,23,7.374
17,10,7,8470606,"Dustin Brown",R,18,7.366
18,11,7,8473419,"Brad Marchand",L,18,7.191
9,12,-3,8470543,"Chris Kunitz",L,22,6.763
26,13,13,8470610,"Zach Parise",L,17,6.762
27,14,13,8466139,"Patrick Marleau",L,17,6.725
28,15,13,8473485,"Chris Stewart",R,17,6.603
14,16,-2,8470598,"Thomas Vanek",L,20,6.547
89,17,72,8471242,"Mike Green",D,11,6.308
52,18,34,8473574,"Shawn Matthias",C,14,6.289
7,19,-12,8474141,"Patrick Kane",R,23,6.09
19,20,-1,8469707,"Pierre-Alexandre Parenteau",R,18,5.967
53,21,32,8462042,"Jarome Iginla",R,14,5.94
62,22,40,8467514,"Pavel Datsyuk",C,13,5.933
20,23,-3,8474613,"Derek Stepan",C,18,5.782
54,24,30,8460542,"Patrik Elias",C,14,5.769
90,25,65,8470626,"Loui Eriksson",R,11,5.741
63,26,37,8470120,"Alexander Semin",R,13,5.719
11,27,-16,8471707,"James Neal",L,21,5.657
64,28,36,8470596,"Nathan Horton",R,13,5.578
40,29,11,8474570,"Cody Hodgson",C,15,5.314
12,30,-18,8470041,"Rick Nash",L,21,5.229
16,31,-15,8471218,"Blake Wheeler",R,19,5.203
30,32,-2,8467545,"Michael Ryder",R,16,5.2
41,33,8,8474190,"Wayne Simmonds",R,15,5.158
55,34,21,8469506,"Jason Pominville",R,14,5.151
91,35,56,8471676,"Bobby Ryan",R,11,5.084
42,36,6,8471675,"Sidney Crosby",C,15,5.059
43,37,6,8448208,"Jaromir Jagr",R,15,4.914
74,38,36,8468085,"Radim Vrbata",R,12,4.9
44,39,5,8470852,"Matt Moulson",L,15,4.876
31,40,-9,8475794,"Tyler Seguin",C,16,4.875
32,41,-9,8470794,"Joe Pavelski",C,16,4.853
21,42,-21,8470595,"Eric Staal",C,18,4.845
109,43,66,8474091,"Brandon Sutter",C,10,4.841
22,44,-22,8471217,"Andrew Ladd",L,18,4.834
33,45,-12,8473546,"Michael Grabner",R,16,4.833
34,46,-12,8475791,"Taylor Hall",L,16,4.754
35,47,-12,8476855,"Nail Yakupov",R,16,4.695
65,48,17,8471699,"Andrew Cogliano",C,13,4.642
45,49,-4,8475848,"Brendan Gallagher",R,15,4.613
75,50,25,8471682,"Devin Setoguchi",R,12,4.579
158,51,107,8469469,"R.J. Umberger",C,8,4.536
36,52,-16,8475169,"Evander Kane",L,16,4.527
92,53,39,8473962,"Teddy Purcell",R,11,4.5
76,54,22,8470039,"Tomas Fleischmann",L,12,4.466
56,55,1,8466148,"Marian Hossa",R,14,4.361
23,56,-33,8475172,"Nazem Kadri",C,18,4.348
66,57,9,8469638,"Jussi Jokinen",L,13,4.337
24,58,-34,8474037,"James van Riemsdyk",L,18,4.309
