"Rank_trad","Rank_w","Rank_diff","PlayerId","PlayerName","Position","Assists","Assists_w"
3,1,2,8470612,"Ryan Getzlaf","C",24,9.4237287447661
4,2,2,8470595,"Eric Staal","C",23,7.98759241909428
6,3,3,8473512,"Claude Giroux","C",22,7.85589062154274
9,4,5,8470852,"Matt Moulson","L",20,7.32342554307
10,5,5,8466138,"Joe Thornton","C",20,7.28401400201087
1,6,-5,8471675,"Sidney Crosby","C",28,7.17183604799549
7,7,0,8474141,"Patrick Kane","R",22,6.97930266367475
15,8,7,8471685,"Anze Kopitar","C",18,6.88304163146829
29,9,20,8470039,"Tomas Fleischmann","L",15,6.85049754959047
5,10,-5,8473548,"Phil Kessel","R",23,6.2310198816047
13,11,2,8467371,"Mike Ribeiro","C",19,6.20640711640086
30,12,18,8473563,"Nicklas Backstrom","C",15,6.08388425713506
8,13,-5,8475172,"Nazem Kadri","C",21,5.93843109237578
31,14,17,8464989,"Matt Cullen","C",15,5.9315232612463
16,15,1,8468083,"Henrik Zetterberg","L",18,5.82122979732876
34,16,18,8470598,"Thomas Vanek","L",14,5.78396263798377
32,17,15,8471724,"Kris Letang","D",15,5.68673375688964
2,18,-16,8475791,"Taylor Hall","L",25,5.64841495150374
18,19,-1,8474613,"Derek Stepan","C",17,5.63643012577363
67,20,47,8475171,"Oliver Ekman-Larsson","D",11,5.56623708356107
14,21,-7,8475168,"Matt Duchene","C",19,5.55696001653066
114,22,92,8468505,"Steve Ott","C",9,5.51660305218666
11,23,-12,8470120,"Alexander Semin","R",20,5.47197961927061
35,24,11,8469707,"Pierre-Alexandre Parenteau","R",14,5.4112259277795
19,25,-6,8474564,"Steven Stamkos","C",17,5.39508981320179
12,26,-14,8473962,"Teddy Purcell","R",20,5.39058845527004
24,27,-3,8471276,"David Krejci","C",16,5.31080737429485
56,28,28,8474068,"Kyle Turris","C",12,5.0712499966986
17,29,-12,8467514,"Pavel Datsyuk","C",18,5.06875512435514
33,30,3,8467329,"Vincent Lecavalier","C",15,5.04774648930556
68,31,37,8470638,"Patrice Bergeron","C",11,4.96233101067428
25,32,-7,8474586,"Jordan Eberle","R",16,4.86080302500371
26,33,-7,8468504,"Brad Boyes","R",16,4.82674340300124
88,34,54,8467338,"Alex Tanguay","L",10,4.72391365209181
20,35,-15,8470543,"Chris Kunitz","L",17,4.71143694478755
21,36,-15,8466378,"Martin St. Louis","R",17,4.6770305447781
41,37,4,8476851,"Alex Galchenyuk","C",13,4.64912818992726
42,38,4,8471217,"Andrew Ladd","L",13,4.53224088350011
27,39,-12,8471218,"Blake Wheeler","R",16,4.49455972494828
43,40,3,8474570,"Cody Hodgson","C",13,4.44059880335895
89,41,48,8471498,"Jannik Hansen","R",10,4.42195104906878
22,42,-20,8473412,"Bryan Little","C",17,4.39885079230006
69,43,26,8474040,"Sam Gagner","C",11,4.3986502816298
44,44,0,8469500,"Mike Cammalleri","L",13,4.34619158098349
90,45,45,8470626,"Loui Eriksson","R",10,4.34097439500357
45,46,-1,8473544,"Derick Brassard","C",13,4.31136384010072
91,47,44,8470281,"Duncan Keith","D",10,4.30034168989852
92,48,44,8469521,"Tomas Plekanec","C",10,4.26806219976123
139,49,90,8474190,"Wayne Simmonds","R",8,4.25764677551166
70,50,20,8474053,"Logan Couture","C",11,4.22895718566802
71,51,20,8471426,"Troy Brouwer","R",11,4.20898478189548
36,52,-16,8473449,"Kyle Okposo","R",14,4.20292229089404
46,53,-7,8470610,"Zach Parise","L",13,4.18980543796359
47,54,-7,8470655,"David Backes","C",13,4.1789762737719
72,55,17,8471274,"Alex Goligoski","D",11,4.06626990901705
48,56,-8,8473533,"Jordan Staal","C",13,4.01619792207748
239,57,182,8467351,"Scott Gomez","C",5,3.96990000258153
115,58,57,8470600,"Ryan Suter","D",9,3.96226265756848
116,59,57,8473482,"Jiri Tlusty","L",9,3.95416654217671
93,60,33,8471273,"Brandon Dubinsky","C",10,3.94383560330419
94,61,33,8470257,"Alexander Steen","L",10,3.90374534719613
57,62,-5,8475169,"Evander Kane","L",12,3.88486001273999
28,63,-35,8467875,"Daniel Sedin","L",16,3.88437337400915
73,64,9,8469664,"David Moss","R",11,3.85815635473472
58,65,-7,8473473,"Milan Lucic","L",12,3.79895482794006
74,66,8,8471735,"Keith Yandle","D",11,3.79237345782248
23,67,-44,8467876,"Henrik Sedin","C",17,3.79177001534068
49,68,-19,8474157,"Max Pacioretty","L",13,3.76620665472359
95,69,26,8474605,"Patrick Wiercioch","D",10,3.76110774674133
50,70,-20,8473994,"Jamie Benn","L",13,3.72810967771412
59,71,-12,8467496,"Andrei Markov","D",12,3.69875173492715
117,72,45,8471682,"Devin Setoguchi","R",9,3.69565976398099
96,73,23,8473537,"Viktor Stalberg","L",10,3.68803471820545
37,74,-37,8470740,"Lee Stempniak","R",14,3.65886190108986
60,75,-15,8477059,"Damien Brunner","R",12,3.65082667710483
118,76,42,8471664,"Mason Raymond","L",9,3.62748205121025
240,77,163,8470920,"David Clarkson","R",5,3.62524105644952
119,78,41,8475236,"Cody Eakin","C",9,3.60873700370747
38,79,-41,8460542,"Patrik Elias","C",14,3.59491008026393
97,80,17,8474565,"Alex Pietrangelo","D",10,3.59118147415179
120,81,39,8470144,"Frans Nielsen","C",9,3.55131895628219
98,82,16,8465009,"Zdeno Chara","D",10,3.53669128992316
99,83,16,8476855,"Nail Yakupov","R",10,3.53037792791858
75,84,-9,8469459,"Mikko Koivu","C",11,3.50573055871419
51,85,-34,8470621,"Corey Perry","R",13,3.49530047718898
76,86,-10,8469492,"Fedor Tyutin","D",11,3.47437831172634
77,87,-10,8475170,"Brayden Schenn","C",11,3.47359418047192
61,88,-27,8469506,"Jason Pominville","R",12,3.46410379061673
140,89,51,8475164,"Jakob Silfverberg","R",8,3.44171677306656
78,90,-12,8470617,"Mike Richards","C",11,3.43568355610959
100,91,9,8474584,"Michael Del Zotto","D",10,3.39238768698157
101,92,9,8470834,"Dustin Byfuglien","R",10,3.38388900735492
141,93,48,8471742,"Cody Franson","D",8,3.37665324660849
142,94,48,8474563,"Drew Doughty","D",8,3.36653020540515
143,95,48,8476462,"Dougie Hamilton","D",8,3.36591746371367
102,96,6,8448208,"Jaromir Jagr","R",10,3.36453764025444
144,97,47,8475167,"Victor Hedman","D",8,3.35764060761645
39,98,-59,8471215,"Evgeni Malkin","C",14,3.32666419920716
79,99,-20,8470162,"Matt Stajan","C",11,3.28579535731379
198,100,98,8473422,"Nick Foligno","L",6,3.27937126520326
145,101,44,8467545,"Michael Ryder","R",8,3.26468945415897
121,102,19,8471707,"James Neal","L",9,3.26339044955703
361,103,258,8469665,"Johnny Oduya","D",3,3.24847093266816
80,104,-24,8470794,"Joe Pavelski","C",11,3.22199692416537
62,105,-43,8462042,"Jarome Iginla","R",12,3.19999750418647
52,106,-54,8474161,"Jakub Voracek","R",13,3.19869724816333
103,107,-4,8469759,"Vernon Fiddler","C",10,3.16605372700528
171,108,63,8471748,"Mark Fraser","D",7,3.16132670844286
122,109,13,8468542,"Paul Martin","D",9,3.1604578789814
123,110,13,8460496,"Ryan Smyth","L",9,3.14622624899502
104,111,-7,8459442,"Saku Koivu","C",10,3.1272273918782
124,112,12,8475765,"Vladimir Tarasenko","R",9,3.1080075125491
125,113,12,8474589,"Tyler Ennis","C",9,3.09476311074708
199,114,85,8469770,"Dennis Wideman","D",6,3.09120974067471
126,115,11,8470201,"Jiri Hudler","C",9,3.08887629560241
146,116,30,8475848,"Brendan Gallagher","R",8,3.06933537002348
200,117,83,8470604,"Jeff Carter","C",6,3.05414676497716
63,118,-55,8469555,"Christian Ehrhoff","D",12,3.031111296588
