Rank_trad,Rank_w,Rank_diff,PlayerId,PlayerName,Position,PlusMinus,PlusMinus_w
1,1,0,8470543,"Chris Kunitz",L,30,9.979
6,2,4,8474613,"Derek Stepan",C,23,9.123
24,3,21,8468508,"Justin Williams",R,15,8.674
8,4,4,8473419,"Brad Marchand",L,22,8.174
7,5,2,8470638,"Patrice Bergeron",C,23,8.001
20,6,14,8473482,"Jiri Tlusty",L,16,7.476
88,7,81,8470595,"Eric Staal",C,7,7.354
5,8,-3,8475794,"Tyler Seguin",C,24,7.231
3,9,-6,8471675,"Sidney Crosby",C,26,7.171
9,10,-1,8467400,"Francois Beauchemin",D,19,7.027
28,11,17,8471685,"Anze Kopitar",C,14,6.872
29,12,17,8465009,"Zdeno Chara",D,14,6.563
30,13,17,8476851,"Alex Galchenyuk",C,14,6.273
45,14,31,8471254,"Bryan Bickell",L,12,6.015
10,15,-5,8467876,"Henrik Sedin",C,19,5.984
31,16,15,8473537,"Viktor Stalberg",L,14,5.909
11,17,-6,8467514,"Pavel Datsyuk",C,19,5.602
14,18,-4,8471748,"Mark Fraser",D,18,5.54
21,19,2,8470041,"Rick Nash",L,16,5.489
32,20,12,8470120,"Alexander Semin",R,14,5.472
4,21,-17,8473604,"Jonathan Toews",C,26,5.444
49,22,27,8468598,"Lubomir Visnovsky",D,11,5.374
107,23,84,8471709,"Marc-Edouard Vlasic",D,6,5.309
38,24,14,8474590,"John Carlson",D,13,5.228
33,25,8,8475172,"Nazem Kadri",C,14,5.197
39,26,13,8474774,"Dalton Prout",D,13,5.136
89,27,62,8474053,"Logan Couture",C,7,5.132
22,28,-6,8471724,"Kris Letang",D,16,5.039
157,29,128,8473422,"Nick Foligno",L,4,5.036
34,30,4,8470612,"Ryan Getzlaf",C,14,5.025
2,31,-29,8466393,"Pascal Dupuis",R,30,5.004
15,32,-17,8474520,"Jason Garrison",D,18,4.969
191,33,158,8459492,"Vinny Prospal",L,3,4.95
90,34,56,8466138,"Joe Thornton",C,7,4.894
17,35,-18,8465058,"Michal Rozsival",D,17,4.813
16,36,-20,8469619,"Dennis Seidenberg",D,18,4.759
12,37,-25,8460561,"Sheldon Souray",D,19,4.624
23,38,-15,8474162,"Jake Muzzin",D,16,4.595
40,39,1,8475181,"Nick Leddy",D,13,4.594
57,40,17,8474605,"Patrick Wiercioch",D,10,4.552
58,41,17,8474176,"Carl Hagelin",L,10,4.462
41,42,-1,8470611,"Eric Fehr",R,13,4.431
42,43,-1,8474056,"P.K. Subban",D,13,4.408
59,44,15,8475848,"Brendan Gallagher",R,10,4.388
64,45,19,8476459,"Mika Zibanejad",C,9,4.216
77,46,31,8474573,"Josh Bailey",L,8,4.213
124,47,77,8475148,"Tim Erixon",D,5,4.184
35,48,-13,8471699,"Andrew Cogliano",C,14,4.162
330,49,281,8466378,"Martin St. Louis",R,0,4.153
331,50,281,8469581,"Kyle Wellwood",C,0,4.069
13,51,-38,8466148,"Marian Hossa",R,19,4.068
36,52,-16,8471693,"Jakub Kindl",D,14,4.061
582,53,529,8469765,"Marc-Andre Bergeron",D,-4,4.043
108,54,54,8469555,"Christian Ehrhoff",D,6,4.02
390,55,335,8473962,"Teddy Purcell",R,-1,4.018
65,56,9,8474715,"Cam Atkinson",R,9,3.93
158,57,101,8469469,"R.J. Umberger",C,4,3.92
159,58,101,8471742,"Cody Franson",D,4,3.833
60,59,1,8475164,"Jakob Silfverberg",R,10,3.804
46,60,-14,8467875,"Daniel Sedin",L,12,3.793
332,61,271,8473449,"Kyle Okposo",R,0,3.789
109,62,47,8473563,"Nicklas Backstrom",C,6,3.764
125,63,62,8476457,"Adam Larsson",D,5,3.648
192,64,128,8476454,"Ryan Nugent-Hopkins",C,3,3.614
25,65,-40,8470358,"Alexandre Burrows",R,15,3.595
110,66,44,8470187,"Johnny Boychuk",D,6,3.576
474,67,407,8474586,"Jordan Eberle",R,-2,3.544
273,68,205,8470839,"Shane O'Brien",D,1,3.501
43,69,-26,8471873,"Anton Stralman",D,13,3.478
274,70,204,8470610,"Zach Parise",L,1,3.474
50,71,-21,8471283,"Brandon Prust",L,11,3.453
91,72,19,8475155,"Simon Despres",D,7,3.439
230,73,157,8470600,"Ryan Suter",D,2,3.375
