Rank_trad,Rank_w,Rank_diff,PlayerId,PlayerName,Position,Points,Points_w
1,1,0,8474564,"Steven Stamkos",C,46,15.135
4,2,2,8473548,"Phil Kessel",R,43,13.873
8,3,5,8470612,"Ryan Getzlaf",C,39,13.676
2,4,-2,8474141,"Patrick Kane",R,45,13.069
6,5,1,8470595,"Eric Staal",C,41,12.833
19,6,13,8470598,"Thomas Vanek",L,34,12.331
5,7,-2,8471675,"Sidney Crosby",C,43,12.231
12,8,4,8470852,"Matt Moulson",L,35,12.199
22,9,13,8474053,"Logan Couture",C,32,11.862
11,10,1,8475166,"John Tavares",C,38,11.844
9,11,-2,8470543,"Chris Kunitz",L,39,11.474
13,12,1,8474613,"Derek Stepan",C,35,11.418
23,13,10,8469707,"Pierre-Alexandre Parenteau",R,32,11.378
24,14,10,8473482,"Jiri Tlusty",L,32,11.328
44,15,29,8470039,"Tomas Fleischmann",L,27,11.317
14,16,-2,8474161,"Jakub Voracek",R,35,11.247
21,17,4,8470120,"Alexander Semin",R,33,11.191
28,18,10,8467514,"Pavel Datsyuk",C,31,11.002
32,19,13,8470610,"Zach Parise",L,30,10.952
15,20,-5,8473604,"Jonathan Toews",C,35,10.759
29,21,8,8470604,"Jeff Carter",C,31,10.534
25,22,3,8467371,"Mike Ribeiro",C,32,10.422
7,23,-16,8475791,"Taylor Hall",L,41,10.402
10,24,-14,8475172,"Nazem Kadri",C,39,10.287
88,25,63,8470626,"Loui Eriksson",R,21,10.082
30,26,4,8473962,"Teddy Purcell",R,31,9.891
45,27,18,8470606,"Dustin Brown",R,27,9.793
33,28,5,8473419,"Brad Marchand",L,30,9.756
37,29,8,8474570,"Cody Hodgson",C,28,9.755
16,30,-14,8471218,"Blake Wheeler",R,35,9.698
38,31,7,8471685,"Anze Kopitar",C,28,9.615
35,32,3,8468083,"Henrik Zetterberg",L,29,9.596
46,33,13,8473485,"Chris Stewart",R,27,9.563
17,34,-17,8473512,"Claude Giroux",C,35,9.559
70,35,35,8474190,"Wayne Simmonds",R,23,9.416
31,36,-5,8471217,"Andrew Ladd",L,31,9.366
39,37,2,8460542,"Patrik Elias",C,28,9.363
47,38,9,8466138,"Joe Thornton",C,27,9.261
18,39,-21,8475168,"Matt Duchene",C,35,9.212
50,40,10,8462042,"Jarome Iginla",R,26,9.14
142,41,101,8468505,"Steve Ott",C,17,9.093
34,42,-8,8471707,"James Neal",L,30,8.92
3,43,-40,8471214,"Alex Ovechkin",R,45,8.807
51,44,7,8469506,"Jason Pominville",R,26,8.615
62,45,17,8467545,"Michael Ryder",R,24,8.465
40,46,-6,8475169,"Evander Kane",L,28,8.412
80,47,33,8464989,"Matt Cullen",C,22,8.306
56,48,8,8448208,"Jaromir Jagr",R,25,8.278
89,49,40,8471682,"Devin Setoguchi",R,21,8.275
52,50,2,8476855,"Nail Yakupov",R,26,8.225
63,51,12,8469521,"Tomas Plekanec",C,24,8.164
53,52,1,8471276,"David Krejci",C,26,8.11
48,53,-5,8470794,"Joe Pavelski",C,27,8.075
81,54,27,8466139,"Patrick Marleau",L,22,8.074
41,55,-14,8467875,"Daniel Sedin",L,28,8.07
54,56,-2,8469500,"Mike Cammalleri",L,26,8.063
100,57,43,8467338,"Alex Tanguay",L,20,7.951
112,58,54,8471242,"Mike Green",D,19,7.922
20,59,-39,8466378,"Martin St. Louis",R,34,7.879
82,60,22,8471676,"Bobby Ryan",R,22,7.878
71,61,10,8473533,"Jordan Staal",C,23,7.805
42,62,-20,8474157,"Max Pacioretty",L,28,7.793
101,63,38,8470638,"Patrice Bergeron",C,20,7.779
49,64,-15,8470621,"Corey Perry",R,27,7.716
26,65,-39,8474586,"Jordan Eberle",R,32,7.684
72,66,6,8475848,"Brendan Gallagher",R,23,7.682
113,67,46,8473537,"Viktor Stalberg",L,19,7.568
64,68,-4,8474040,"Sam Gagner",C,24,7.437
36,69,-33,8471426,"Troy Brouwer",R,29,7.429
83,70,13,8468085,"Radim Vrbata",R,22,7.413
73,71,2,8474068,"Kyle Turris",C,23,7.412
57,72,-15,8473994,"Jamie Benn",L,25,7.408
102,73,29,8471498,"Jannik Hansen",R,20,7.378
74,74,0,8473412,"Bryan Little",C,23,7.368
75,75,0,8470740,"Lee Stempniak",R,23,7.297
27,76,-49,8470041,"Rick Nash",L,32,7.283
65,77,-12,8475794,"Tyler Seguin",C,24,7.279
76,78,-2,8473563,"Nicklas Backstrom",C,23,7.264
58,79,-21,8468504,"Brad Boyes",R,25,7.194
114,80,34,8473574,"Shawn Matthias",C,19,7.171
103,81,22,8471724,"Kris Letang",D,20,7.036
115,82,33,8471699,"Andrew Cogliano",C,19,7.033
84,83,1,8476851,"Alex Galchenyuk",C,22,7.021
59,84,-25,8473544,"Derick Brassard",C,25,6.974
60,85,-25,8467329,"Vincent Lecavalier",C,25,6.933
43,86,-43,8467876,"Henrik Sedin",C,28,6.91
77,87,-10,8471215,"Evgeni Malkin",C,23,6.876
181,88,93,8475171,"Oliver Ekman-Larsson",D,14,6.778
90,89,1,8467496,"Andrei Markov",D,21,6.764
66,90,-24,8471309,"Johan Franzen",R,24,6.762
169,91,78,8474605,"Patrick Wiercioch",D,15,6.75
78,92,-14,8476456,"Jonathan Huberdeau",L,23,6.722
143,93,50,8470596,"Nathan Horton",R,17,6.683
104,94,10,8470920,"David Clarkson",R,20,6.659
116,95,21,8474589,"Tyler Ennis",C,19,6.617
129,96,33,8473449,"Kyle Okposo",R,18,6.614
117,97,20,8470201,"Jiri Hudler",C,19,6.609
105,98,7,8473914,"Mark Letestu",C,20,6.565
91,99,-8,8469459,"Mikko Koivu",C,21,6.464
204,100,104,8469469,"R.J. Umberger",C,13,6.454
118,101,17,8471664,"Mason Raymond",L,19,6.449
106,102,4,8476195,"Cory Conacher",C,20,6.366
107,103,4,8475098,"Tyler Bozak",C,20,6.315
119,104,15,8473473,"Milan Lucic",L,19,6.207
79,105,-26,8470617,"Mike Richards",C,23,6.172
67,106,-39,8474037,"James van Riemsdyk",L,24,6.118
92,107,-15,8471735,"Keith Yandle",D,21,6.093
130,108,22,8469638,"Jussi Jokinen",L,18,6.047
120,109,11,8475170,"Brayden Schenn",C,19,6.03
85,110,-25,8468518,"Tomas Kopecky",R,22,5.994
121,111,10,8474176,"Carl Hagelin",L,19,5.975
131,112,19,8470602,"Dion Phaneuf",D,18,5.969
122,113,9,8470655,"David Backes",C,19,5.958
153,114,39,8474573,"Josh Bailey",L,16,5.936
205,115,90,8476455,"Gabriel Landeskog",L,13,5.906
108,116,-8,8475784,"Jeff Skinner",L,20,5.902
132,117,15,8475164,"Jakob Silfverberg",R,18,5.877
144,118,26,8475765,"Vladimir Tarasenko",R,17,5.865
154,119,35,8469664,"David Moss",R,16,5.859
133,120,13,8473546,"Michael Grabner",R,18,5.855
170,121,49,8474091,"Brandon Sutter",C,15,5.833
206,122,84,8470600,"Ryan Suter",D,13,5.832
145,123,22,8470257,"Alexander Steen",L,17,5.83
155,124,31,8470207,"Joffrey Lupul",L,16,5.779
156,125,31,8475236,"Cody Eakin",C,16,5.652
93,126,-33,8466148,"Marian Hossa",R,21,5.614
68,127,-59,8474056,"P.K. Subban",D,24,5.578
146,128,18,8459492,"Vinny Prospal",L,17,5.563
123,129,-6,8474189,"Lars Eller",C,19,5.527
182,130,52,8471862,"Colin Greening",L,14,5.511
171,131,40,8470144,"Frans Nielsen",C,15,5.501
94,132,-38,8468508,"Justin Williams",R,21,5.435
109,133,-24,8458537,"Ray Whitney",L,20,5.415
207,134,73,8466285,"Brian Campbell",D,13,5.406
183,135,48,8468509,"Niklas Kronwall",D,14,5.404
184,136,48,8469466,"Ales Hemsky",R,14,5.397
86,137,-51,8467407,"Brian Gionta",R,22,5.388
95,138,-43,8469454,"Ilya Kovalchuk",R,21,5.385
231,139,92,8469770,"Dennis Wideman",D,12,5.375
