Rank_trad,Rank_w,Rank_diff,PlayerId,PlayerName,Position,PlusMinus,PlusMinus_w
279,764,-485,8469760,"Zbynek Michalek",D,2,-3.585
679,765,-86,8459462,"Bryan McCabe",D,-6,-3.627
241,766,-525,8467344,"Robyn Regehr",D,3,-3.637
389,767,-378,8473932,"Darroll Powe",C,0,-3.652
750,768,-18,8473512,"Claude Giroux",C,-9,-3.659
804,769,35,8460504,"Ethan Moreau",L,-14,-3.66
526,770,-244,8470602,"Dion Phaneuf",D,-2,-3.699
775,771,4,8471716,"Justin Abdelkader",L,-11,-3.727
701,772,-71,8467882,"Jamie Lundmark",C,-7,-3.774
527,773,-246,8469464,"Fredrik Sjostrom",L,-2,-3.825
763,774,-11,8471697,"Niclas Bergfors",R,-10,-3.855
724,775,-51,8471766,"Jared Boll",R,-8,-3.888
334,776,-442,8470192,"Steve Eminger",D,1,-3.929
680,778,-98,8458938,"Roman Hamrlik",D,-6,-3.948
725,777,-52,8470700,"Byron Bitz",R,-8,-3.948
836,779,57,8468172,"Ruslan Fedotenko",L,-18,-3.955
726,780,-54,8470760,"Marc Methot",D,-8,-4.041
787,781,6,8469647,"Derek Boogaard",L,-12,-4.09
727,782,-55,8473525,"Theo Peckham",D,-8,-4.105
583,783,-200,8459574,"Darcy Tucker",R,-3,-4.156
805,784,21,8473536,"James Sheppard",L,-14,-4.164
806,785,21,8471692,"Ryan Parent",D,-14,-4.439
794,786,8,8475166,"John Tavares",C,-13,-4.482
795,787,8,8465170,"Fernando Pisani",R,-13,-4.517
335,788,-453,8471691,"Martin Hanzal",C,1,-4.58
728,789,-61,8460562,"Chris Drury",C,-8,-4.618
817,790,27,8470268,"Denis Grebeshkov",D,-15,-4.634
776,791,-15,8467357,"Jonathan Cheechoo",R,-11,-4.657
584,792,-208,8467393,"Jarkko Ruutu",L,-3,-4.666
764,793,-29,8460541,"Richard Park",R,-10,-4.719
818,794,24,8470613,"Brent Burns",D,-15,-4.728
807,795,12,8467400,"Francois Beauchemin",D,-14,-4.781
618,796,-178,8468162,"Jerred Smithson",C,-4,-4.791
681,797,-116,8468208,"Joel Ward",R,-6,-4.816
808,798,10,8467831,"Jeff Halpern",C,-14,-4.925
777,799,-22,8467408,"Matt Walker",D,-11,-4.996
819,800,19,8466035,"Sergei Samsonov",L,-15,-5.3
751,801,-50,8459628,"Hal Gill",D,-9,-5.301
459,802,-343,8459094,"Ian Laperriere",R,-1,-5.391
242,803,-561,8467890,"Barret Jackman",D,3,-5.461
752,804,-52,8471229,"Petteri Nokelainen",C,-9,-5.494
702,805,-103,8470631,"Kamil Kreps",C,-7,-5.501
528,806,-278,8466371,"John Madden",C,-2,-5.563
729,807,-78,8474551,"Ville Leino",L,-8,-5.564
820,808,12,8471851,"Matt D'Agostini",R,-15,-5.583
809,809,0,8456887,"Vyacheslav Kozlov",L,-14,-5.794
730,810,-80,8468064,"Martin Erat",R,-8,-5.8
731,811,-80,8470171,"Maxime Talbot",C,-8,-5.827
682,812,-130,8473473,"Milan Lucic",L,-6,-5.838
148,813,-665,8471426,"Troy Brouwer",R,6,-5.918
683,814,-131,8470834,"Dustin Byfuglien",R,-6,-5.948
821,815,6,8460555,"Jason Strudwick",D,-15,-5.953
810,816,-6,8469542,"Stephane Veilleux",L,-14,-5.964
765,817,-52,8467304,"Andy Sutton",D,-10,-6.036
