PlayerId,Playername,Position,Assists,weighted_assist
8472382,"Andy Greene",D,14,5.102452569041033
8459442,"Saku Koivu",C,18,5.046095639436896
8468064,"Martin Erat",R,17,5.042361144491245
8470608,"Robert Nilsson",C,13,5.011779953967752
8469555,"Christian Ehrhoff",D,16,4.99997275042544
8470144,"Frans Nielsen",C,17,4.99052375811577
8470640,"Matthew Carle",D,16,4.984729729903072
8471697,"Niclas Bergfors",R,13,4.945624378840638
8460541,"Richard Park",R,10,4.864912291268316
8468432,"Steve Reinprecht",C,15,4.807889679080532
8467844,"Jason Blake",L,15,4.787583653101902
8470543,"Chris Kunitz",L,13,4.7586555562158015
8474161,"Jakub Voracek",R,21,4.732774612204249
8466160,"Brenden Morrow",L,13,4.705277293761611
8462225,"Filip Kuba",D,17,4.683736008036931
8471233,"Travis Zajac",C,21,4.67216845090042
8458938,"Roman Hamrlik",D,14,4.665271520381208
8473449,"Kyle Okposo",R,15,4.634582705344989
8470852,"Matt Moulson",L,13,4.625656385409602
8470667,"Clarke MacArthur",L,12,4.618602372117293
8467338,"Alex Tanguay",L,13,4.581662163719742
8474040,"Sam Gagner",C,13,4.5687800855059475
8459429,"Jason Arnott",C,14,4.52082241836968
8475168,"Matt Duchene",C,16,4.512451451209316
8471273,"Brandon Dubinsky",C,18,4.510090581440221
8471698,"T.J. Oshie",R,18,4.479219707865426
8462118,"Marc Savard",C,15,4.4697711800702145
8458943,"Cory Stillman",L,16,4.4430912464771355
8475179,"Dmitry Kulikov",D,9,4.42886515886689
8470600,"Ryan Suter",D,14,4.4278772734203615
8458590,"Mike Knuble",R,14,4.409132087226537
8471670,"Guillaume Latendresse",L,12,4.3815899664179065
8471226,"Drew Stafford",R,15,4.380775918191432
8470604,"Jeff Carter",C,12,4.326561932571919
8468434,"Andy McDonald",L,17,4.322171195805237
8470268,"Denis Grebeshkov",D,10,4.3042990233297145
8471742,"Cody Franson",D,9,4.28746538335331
8473526,"Peter Mueller",C,14,4.282484067707943
8459457,"Jamie Langenbrunner",R,19,4.277549181557863
8470110,"Trevor Daley",D,9,4.2273941820977665
8464966,"Derek Morris",D,9,4.223840340859422
8458229,"Keith Tkachuk",L,15,4.209445652054202
8469619,"Dennis Seidenberg",D,12,4.163186748416073
8470642,"Shea Weber",D,14,4.1547503282993885
8462129,"Michal Handzus",C,13,4.150387489871628
8471842,"Tim Kennedy",L,11,4.14800650185824
8468085,"Radim Vrbata",R,13,4.099008624804963
8469466,"Ales Hemsky",R,10,4.092111669085632
8467330,"David Legwand",C,15,4.074884536681594
8465210,"Pavel Kubina",D,11,4.063636759986459
8471218,"Blake Wheeler",R,14,4.011727152135484
8471678,"Benoit Pouliot",L,8,4.0092610396024355
8449645,"Mike Modano",C,11,4.0066344017137885
8468498,"Brooks Orpik",D,12,4.005636514369879
8459670,"Kimmo Timonen",D,10,3.9682660530955585
8470104,"Tom Gilbert",D,14,3.9380226850095643
8470309,"Ryan Whitney",D,14,3.919088197354293
8468504,"Brad Boyes",R,14,3.884547755787588
8469492,"Fedor Tyutin",D,10,3.869066676565303
8474574,"Tyler Myers",D,17,3.8166738658583896
8471703,"Steve Downie",R,12,3.8033234047872067
8471274,"Alex Goligoski",D,13,3.77356822270792
8471735,"Keith Yandle",D,14,3.772578065039675
8469462,"Tuomo Ruutu",L,9,3.76438531553527
8471311,"Tyler Kennedy",R,11,3.7593984930145683
8470047,"Valtteri Filppula",C,15,3.75335981925605
8467370,"Mike Fisher",C,15,3.728553414709327
8469759,"Vernon Fiddler",C,12,3.700042140239952
8470598,"Thomas Vanek",L,15,3.69763822622287
