Rank_trad,Rank_w,Rank_diff,PlayerId,PlayerName,Position,Points,Points_w
1,1,0,8471214,"Alex Ovechkin",R,85,26.807
3,2,1,8474564,"Steven Stamkos",C,75,25.341
2,3,-1,8471675,"Sidney Crosby",C,85,23.998
4,4,0,8473563,"Nicklas Backstrom",C,73,21.417
10,5,5,8468482,"Dany Heatley",L,64,20.548
7,6,1,8469454,"Ilya Kovalchuk",R,68,20.399
5,7,-2,8467876,"Henrik Sedin",C,73,20.246
8,8,0,8467389,"Brad Richards",C,67,19.946
6,9,-3,8468483,"Marian Gaborik",R,73,19.762
9,10,-1,8466139,"Patrick Marleau",L,66,19.384
32,11,21,8467514,"Pavel Datsyuk",C,51,19.288
22,12,10,8471215,"Evgeni Malkin",C,54,19.001
17,13,4,8471669,"Paul Stastny",C,57,18.604
18,14,4,8470041,"Rick Nash",L,56,18.327
16,15,1,8466378,"Martin St. Louis",R,60,18.269
12,16,-4,8474141,"Patrick Kane",R,63,17.861
58,17,41,8466202,"Maxim Afinogenov",R,43,17.814
49,18,31,8469457,"Stephen Weiss",C,45,17.793
45,19,26,8459596,"Andrew Brunette",L,46,17.714
50,20,30,8470626,"Loui Eriksson",R,45,17.704
20,21,-1,8470358,"Alexandre Burrows",R,55,17.394
11,22,-11,8470120,"Alexander Semin",R,64,17.389
13,23,-10,8467875,"Daniel Sedin",L,63,17.319
14,24,-10,8470610,"Zach Parise",L,63,17.298
26,25,1,8462042,"Jarome Iginla",R,52,17.217
19,26,-7,8471685,"Anze Kopitar",C,56,17.193
27,27,0,8470612,"Ryan Getzlaf",C,52,17.141
68,28,40,8469455,"Jason Spezza",C,41,16.673
28,29,-1,8470617,"Mike Richards",C,52,16.38
29,30,-1,8471676,"Bobby Ryan",R,52,16.231
55,31,24,8471707,"James Neal",L,44,15.895
38,32,6,8467353,"Nik Antropov",C,47,15.794
15,33,-18,8466138,"Joe Thornton",C,63,15.648
92,34,58,8471276,"David Krejci",C,38,15.388
84,35,49,8468704,"Antti Miettinen",R,39,15.348
39,36,3,8471504,"Rene Bourque",R,47,15.27
33,37,-4,8469485,"Derek Roy",C,51,15.208
24,38,-14,8470616,"Ryan Kesler",C,53,15.184
40,39,1,8469521,"Tomas Plekanec",C,47,15.059
34,41,-7,8473485,"Chris Stewart",R,51,15.006
78,40,38,8471887,"Patric Hornqvist",R,40,15.006
56,42,14,8470794,"Joe Pavelski",C,44,14.96
30,43,-13,8469638,"Jussi Jokinen",L,52,14.952
25,44,-19,8470595,"Eric Staal",C,53,14.874
23,45,-22,8473604,"Jonathan Toews",C,54,14.854
41,46,-5,8471208,"Dustin Penner",R,47,14.756
36,47,-11,8473548,"Phil Kessel",R,48,14.639
35,48,-13,8466181,"Kristian Huselius",L,49,14.592
51,49,2,8470604,"Jeff Carter",C,45,14.236
85,50,35,8467096,"Dan Boyle",D,39,14.15
46,51,-5,8468083,"Henrik Zetterberg",L,46,14.114
59,52,7,8470852,"Matt Moulson",L,43,13.981
42,53,-11,8467329,"Vincent Lecavalier",C,47,13.971
86,54,32,8471670,"Guillaume Latendresse",L,39,13.919
57,55,2,8469459,"Mikko Koivu",C,44,13.767
87,56,31,8473533,"Jordan Staal",C,39,13.765
64,57,7,8467371,"Mike Ribeiro",C,42,13.465
52,58,-6,8471233,"Travis Zajac",C,45,13.391
21,59,-38,8470621,"Corey Perry",R,55,13.372
31,60,-29,8469544,"Patrick Sharp",L,52,13.304
106,61,45,8460719,"Steve Sullivan",L,36,13.174
37,62,-25,8468535,"Antoine Vermette",C,48,13.107
43,63,-20,8471242,"Mike Green",D,47,13.105
53,64,-11,8457981,"Teemu Selanne",R,45,13.042
47,65,-18,8459492,"Vinny Prospal",L,46,12.959
93,66,27,8462038,"Shane Doan",R,38,12.899
60,67,-7,8471664,"Mason Raymond",L,43,12.888
69,68,1,8466148,"Marian Hossa",R,41,12.755
159,69,90,8474040,"Sam Gagner",C,28,12.578
88,70,18,8469500,"Mike Cammalleri",L,39,12.541
79,71,8,8470162,"Matt Stajan",C,40,12.54
94,72,22,8471273,"Brandon Dubinsky",C,38,12.493
70,73,-3,8467351,"Scott Gomez",C,41,12.48
71,74,-3,8469639,"Brooks Laich",C,41,12.417
89,75,14,8467878,"Tim Connolly",C,39,12.41
112,76,36,8459442,"Saku Koivu",C,35,12.372
124,77,47,8459444,"Todd Bertuzzi",R,33,12.345
61,78,-17,8470596,"Nathan Horton",R,43,12.246
132,79,53,8470611,"Eric Fehr",R,31,12.17
72,80,-8,8470039,"Tomas Fleischmann",L,41,12.169
113,81,32,8460743,"Tomas Holmstrom",L,35,12.069
54,82,-28,8467463,"Mikael Samuelsson",R,45,12.022
114,83,31,8468526,"Jarret Stoll",C,35,11.997
44,84,-40,8471234,"Wojtek Wolski",L,47,11.964
118,85,33,8467407,"Brian Gionta",R,34,11.896
62,86,-24,8469506,"Jason Pominville",R,43,11.893
90,87,3,8470638,"Patrice Bergeron",C,39,11.759
115,88,27,8470655,"David Backes",C,35,11.728
73,90,-17,8471514,"Rich Peverley",C,41,11.659
129,89,40,8471218,"Blake Wheeler",R,32,11.659
178,91,87,8470603,"Andrei Kostitsyn",L,27,11.657
100,92,8,8458529,"Alex Kovalev",R,37,11.645
65,93,-28,8458537,"Ray Whitney",L,42,11.642
80,94,-14,8474102,"David Perron",L,40,11.624
119,95,24,8471703,"Steve Downie",R,34,11.613
48,96,-48,8470606,"Dustin Brown",R,46,11.584
95,97,-2,8474091,"Brandon Sutter",C,38,11.577
101,98,3,8464957,"J-P Dumont",R,37,11.55
81,99,-18,8475168,"Matt Duchene",C,40,11.478
125,100,25,8459429,"Jason Arnott",C,33,11.457
126,101,25,8466160,"Brenden Morrow",L,33,11.361
82,102,-20,8467412,"Alexei Ponikarovsky",L,40,11.318
130,103,27,8468486,"Scott Hartnell",L,32,11.185
66,104,-38,8469469,"R.J. Umberger",C,42,11.136
74,105,-31,8458590,"Mike Knuble",R,41,11.122
186,106,80,8458951,"Sergei Gonchar",D,26,11.084
75,107,-32,8475166,"John Tavares",C,41,11.053
63,108,-45,8470598,"Thomas Vanek",L,43,11.04
102,109,-7,8474563,"Drew Doughty",D,37,11.037
127,110,17,8468309,"Mark Streit",D,33,11.036
91,111,-20,8460542,"Patrik Elias",C,39,11.019
116,112,4,8460577,"Milan Hejduk",R,35,10.998
107,113,-6,8460496,"Ryan Smyth",L,36,10.936
67,114,-47,8460621,"Daniel Alfredsson",R,42,10.865
108,115,-7,8471698,"T.J. Oshie",R,36,10.832
96,116,-20,8468064,"Martin Erat",R,38,10.765
160,117,43,8474190,"Wayne Simmonds",R,28,10.726
103,118,-15,8467370,"Mike Fisher",C,37,10.693
83,119,-36,8468434,"Andy McDonald",L,40,10.648
179,120,59,8473579,"Nikolay Kulemin",L,27,10.644
143,121,22,8473994,"Jamie Benn",L,30,10.614
161,122,39,8465200,"Tomas Kaberle",D,28,10.534
133,123,10,8465050,"Eric Belanger",C,31,10.485
144,124,20,8462129,"Michal Handzus",C,30,10.472
104,125,-21,8467899,"Martin Havlat",L,37,10.434
134,126,8,8467844,"Jason Blake",L,31,10.434
120,127,-7,8471697,"Niclas Bergfors",R,34,10.345
131,128,3,8473449,"Kyle Okposo",R,32,10.341
162,129,33,8470667,"Clarke MacArthur",L,28,10.277
109,130,-21,8470281,"Duncan Keith",D,36,10.269
76,131,-55,8470740,"Lee Stempniak",R,41,10.26
117,132,-15,8468695,"Matthew Lombardi",C,35,10.247
135,133,2,8468485,"Raffi Torres",L,31,10.195
152,134,18,8467988,"Ryan Malone",L,29,10.087
153,135,18,8471226,"Drew Stafford",R,29,10.077
154,136,18,8470642,"Shea Weber",D,29,9.962
195,137,58,8449645,"Mike Modano",C,25,9.918
180,138,42,8457063,"Nicklas Lidstrom",D,27,9.843
97,139,-42,8473512,"Claude Giroux",C,38,9.826
145,140,5,8459426,"Paul Kariya",L,30,9.79
181,141,40,8473526,"Peter Mueller",C,27,9.79
163,142,21,8470828,"Toby Enstrom",D,28,9.768
136,143,-7,8458943,"Cory Stillman",L,31,9.735
155,144,11,8465009,"Zdeno Chara",D,29,9.684
164,145,19,8470144,"Frans Nielsen",C,28,9.577
165,146,19,8474001,"TJ Galiardi",L,28,9.543
128,147,-19,8456464,"Bill Guerin",R,33,9.512
121,148,-27,8467943,"Niklas Hagman",L,34,9.506
122,149,-27,8471346,"Kris Versteeg",L,34,9.494
137,150,-13,8471426,"Troy Brouwer",R,31,9.404
166,151,15,8466393,"Pascal Dupuis",R,28,9.359
138,152,-14,8468432,"Steve Reinprecht",C,31,9.265
98,153,-55,8459457,"Jamie Langenbrunner",R,38,9.255
167,154,13,8469555,"Christian Ehrhoff",D,28,9.242
182,155,27,8462196,"Stephane Robidas",D,27,9.219
139,156,-17,8466140,"Olli Jokinen",C,31,9.033
140,157,-17,8459461,"Brendan Morrison",C,31,8.959
205,158,47,8462036,"Daymond Langkow",C,24,8.834
110,159,-49,8470257,"Alexander Steen",L,36,8.78
243,160,83,8470755,"Brad Richardson",R,20,8.669
146,161,-15,8470137,"Joni Pitkanen",D,30,8.641
141,162,-21,8468505,"Steve Ott",C,31,8.623
156,163,-7,8473544,"Derick Brassard",C,29,8.621
147,164,-17,8473412,"Bryan Little",C,30,8.606
244,165,79,8467496,"Andrei Markov",D,20,8.589
216,166,50,8467856,"Brian Rafalski",D,23,8.544
183,167,16,8471680,"Gilbert Brule",C,27,8.486
196,168,28,8470680,"Ryan Potulny",C,25,8.47
187,169,18,8471735,"Keith Yandle",D,26,8.453
168,170,-2,8470649,"Patrick O'Sullivan",C,28,8.451
99,171,-72,8468500,"Alex Frolov",L,38,8.388
206,172,34,8471362,"Mikhail Grabovski",C,24,8.387
188,173,15,8470803,"Kyle Brodziak",C,26,8.363
184,174,10,8470741,"Nigel Dawes",L,27,8.352
105,175,-70,8474161,"Jakub Voracek",R,37,8.273
169,176,-7,8462077,"Jochen Hecht",C,28,8.253
262,177,85,8460541,"Richard Park",R,19,8.247
197,178,19,8470047,"Valtteri Filppula",C,25,8.154
170,179,-9,8468504,"Brad Boyes",R,28,8.131
157,180,-23,8470599,"Milan Michalek",L,29,8.122
207,181,26,8470608,"Robert Nilsson",C,24,8.088
171,182,-11,8467545,"Michael Ryder",R,28,8.029
172,183,-11,8458229,"Keith Tkachuk",L,28,7.94
189,184,5,8471217,"Andrew Ladd",L,26,7.923
173,185,-12,8473564,"Michael Frolik",R,28,7.916
198,186,12,8468598,"Lubomir Visnovsky",D,25,7.887
275,187,88,8471386,"Scott Parse",L,18,7.854
148,188,-40,8458525,"Brian Rolston",R,30,7.844
149,189,-40,8471339,"Ryan Callahan",R,30,7.839
199,190,9,8471678,"Benoit Pouliot",L,25,7.821
190,191,-1,8470543,"Chris Kunitz",L,26,7.816
191,192,-1,8470273,"Ian White",D,26,7.806
111,193,-82,8468085,"Radim Vrbata",R,36,7.782
