Rank_trad,Rank_w,Rank_diff,PlayerId,PlayerName,Position,Goals,Goals_w
1,1,0,8471675,"Sidney Crosby",C,50,15.06
2,2,0,8474564,"Steven Stamkos",C,49,14.978
3,3,0,8471214,"Alex Ovechkin",R,49,14.564
6,4,2,8469454,"Ilya Kovalchuk",R,40,13.125
8,5,3,8468482,"Dany Heatley",L,38,12.914
4,6,-2,8466139,"Patrick Marleau",L,44,12.156
19,7,12,8471887,"Patric Hornqvist",R,30,12.022
13,8,5,8470041,"Rick Nash",L,33,11.903
7,9,-2,8470120,"Alexander Semin",R,40,11.564
5,10,-5,8468483,"Marian Gaborik",R,42,11.376
24,11,13,8470626,"Loui Eriksson",R,29,11.331
12,12,0,8471685,"Anze Kopitar",C,34,10.836
33,13,20,8467514,"Pavel Datsyuk",C,27,10.765
28,14,14,8469457,"Stephen Weiss",C,28,10.569
10,15,-5,8470358,"Alexandre Burrows",R,35,10.562
42,16,26,8471707,"James Neal",L,26,10.305
34,17,17,8467407,"Brian Gionta",R,27,10.108
14,18,-4,8470604,"Jeff Carter",C,33,9.909
11,19,-8,8471676,"Bobby Ryan",R,35,9.884
16,20,-4,8462042,"Jarome Iginla",R,31,9.873
17,21,-4,8471208,"Dustin Penner",R,31,9.592
35,22,13,8471670,"Guillaume Latendresse",L,27,9.538
81,23,58,8470611,"Eric Fehr",R,21,9.398
20,24,-4,8470852,"Matt Moulson",L,30,9.356
43,25,18,8470794,"Joe Pavelski",C,25,9.287
44,26,18,8469500,"Mike Cammalleri",L,25,9.267
52,27,25,8466202,"Maxim Afinogenov",R,24,9.191
18,28,-10,8470617,"Mike Richards",C,31,9.093
25,29,-4,8467876,"Henrik Sedin",C,29,9.058
9,30,-21,8470610,"Zach Parise",L,37,8.971
21,31,-10,8469638,"Jussi Jokinen",L,30,8.916
15,32,-17,8473563,"Nicklas Backstrom",C,32,8.871
94,33,61,8468704,"Antti Miettinen",R,20,8.862
22,34,-12,8474141,"Patrick Kane",R,30,8.774
53,35,18,8467353,"Nik Antropov",C,24,8.723
54,36,18,8471233,"Travis Zajac",C,24,8.719
26,37,-11,8473548,"Phil Kessel",R,29,8.626
45,38,7,8460743,"Tomas Holmstrom",L,25,8.622
36,39,-3,8471504,"Rene Bourque",R,27,8.531
29,40,-11,8473485,"Chris Stewart",R,28,8.506
23,41,-18,8467463,"Mikael Samuelsson",R,30,8.439
82,42,40,8473533,"Jordan Staal",C,21,8.404
95,43,52,8467988,"Ryan Malone",L,20,8.279
37,44,-7,8466378,"Martin St. Louis",R,27,8.248
55,45,10,8459596,"Andrew Brunette",L,24,8.15
156,46,110,8474040,"Sam Gagner",C,15,8.009
96,47,49,8471273,"Brandon Dubinsky",C,20,7.983
64,48,16,8469521,"Tomas Plekanec",C,23,7.98
71,49,22,8471703,"Steve Downie",R,22,7.81
38,50,-12,8468535,"Antoine Vermette",C,27,7.681
117,51,66,8471218,"Blake Wheeler",R,18,7.648
56,52,4,8469544,"Patrick Sharp",L,24,7.645
72,53,19,8473994,"Jamie Benn",L,22,7.537
30,54,-24,8467875,"Daniel Sedin",L,28,7.499
65,55,10,8460577,"Milan Hejduk",R,23,7.494
57,56,1,8467329,"Vincent Lecavalier",C,24,7.488
31,57,-26,8470740,"Lee Stempniak",R,28,7.429
97,58,39,8469455,"Jason Spezza",C,20,7.414
83,59,24,8460496,"Ryan Smyth",L,21,7.403
73,60,13,8469459,"Mikko Koivu",C,22,7.391
32,61,-29,8470598,"Thomas Vanek",L,28,7.342
46,62,-16,8471664,"Mason Raymond",L,25,7.331
126,63,63,8459442,"Saku Koivu",C,17,7.326
107,64,43,8470162,"Matt Stajan",C,19,7.284
39,65,-26,8457981,"Teemu Selanne",R,27,7.282
47,66,-19,8467943,"Niklas Hagman",L,25,7.261
142,67,75,8471276,"David Krejci",C,16,7.218
74,68,6,8469639,"Brooks Laich",C,22,7.205
98,69,29,8468083,"Henrik Zetterberg",L,20,7.111
58,70,-12,8475168,"Matt Duchene",C,24,6.965
75,71,4,8467370,"Mike Fisher",C,22,6.964
108,72,36,8468485,"Raffi Torres",L,19,6.945
109,73,36,8459429,"Jason Arnott",C,19,6.936
157,74,83,8474001,"TJ Galiardi",L,15,6.895
110,75,35,8470612,"Ryan Getzlaf",C,19,6.849
48,76,-28,8470616,"Ryan Kesler",C,25,6.805
76,77,-1,8470039,"Tomas Fleischmann",L,22,6.725
40,78,-38,8458590,"Mike Knuble",R,27,6.713
84,79,5,8471426,"Troy Brouwer",R,21,6.71
66,80,-14,8471234,"Wojtek Wolski",L,23,6.67
99,81,18,8466160,"Brenden Morrow",L,20,6.656
77,82,-5,8468505,"Steve Ott",C,22,6.618
67,83,-16,8469485,"Derek Roy",C,23,6.607
49,84,-35,8471215,"Evgeni Malkin",C,25,6.563
85,85,0,8471514,"Rich Peverley",C,21,6.542
127,86,41,8466393,"Pascal Dupuis",R,17,6.534
143,87,56,8468526,"Jarret Stoll",C,16,6.467
118,88,30,8471698,"T.J. Oshie",R,18,6.352
68,89,-21,8468434,"Andy McDonald",L,23,6.326
59,90,-31,8469506,"Jason Pominville",R,24,6.324
128,91,37,8462129,"Michal Handzus",C,17,6.322
27,92,-65,8470595,"Eric Staal",C,29,6.295
50,93,-43,8473604,"Jonathan Toews",C,25,6.289
119,94,25,8459426,"Paul Kariya",L,18,6.223
60,95,-35,8467389,"Brad Richards",C,24,6.203
86,96,-10,8456464,"Bill Guerin",R,21,6.184
158,97,61,8470680,"Ryan Potulny",C,15,6.17
120,98,22,8468500,"Alex Frolov",L,18,6.132
61,99,-38,8466148,"Marian Hossa",R,24,6.059
87,100,-13,8473564,"Michael Frolik",R,21,6.032
69,101,-32,8466181,"Kristian Huselius",L,23,6
100,102,-2,8459492,"Vinny Prospal",L,20,5.987
88,103,-15,8462077,"Jochen Hecht",C,21,5.916
173,104,69,8449645,"Mike Modano",C,14,5.911
111,105,6,8467371,"Mike Ribeiro",C,19,5.856
174,106,68,8470603,"Andrei Kostitsyn",L,14,5.809
159,107,52,8470642,"Shea Weber",D,15,5.807
78,109,-31,8470599,"Milan Michalek",L,22,5.781
175,108,67,8468486,"Scott Hartnell",L,14,5.781
129,110,19,8464957,"J-P Dumont",R,17,5.737
89,111,-22,8468064,"Martin Erat",R,21,5.723
130,112,18,8473449,"Kyle Okposo",R,17,5.706
176,113,63,8471226,"Drew Stafford",R,14,5.696
177,114,63,8462036,"Daymond Langkow",C,14,5.696
131,115,16,8460719,"Steve Sullivan",L,17,5.681
144,116,28,8470667,"Clarke MacArthur",L,16,5.659
145,117,28,8467844,"Jason Blake",L,16,5.646
146,118,28,8474190,"Wayne Simmonds",R,16,5.57
160,119,41,8465951,"Matt Cooke",L,15,5.533
62,120,-58,8475166,"John Tavares",C,24,5.515
192,121,71,8473526,"Peter Mueller",C,13,5.507
63,122,-59,8470257,"Alexander Steen",L,24,5.468
147,123,24,8459444,"Todd Bertuzzi",R,16,5.453
132,124,8,8470638,"Patrice Bergeron",C,17,5.437
133,125,8,8471217,"Andrew Ladd",L,17,5.429
90,126,-36,8471697,"Niclas Bergfors",R,21,5.4
101,127,-26,8470596,"Nathan Horton",R,20,5.397
51,128,-77,8464975,"Daniel Briere",C,25,5.349
121,129,-8,8470105,"Scottie Upshall",L,18,5.321
161,130,31,8458943,"Cory Stillman",L,15,5.292
102,131,-29,8458525,"Brian Rolston",R,20,5.276
162,132,30,8465050,"Eric Belanger",C,15,5.24
91,133,-42,8464979,"Marco Sturm",L,21,5.22
134,134,0,8471680,"Gilbert Brule",C,17,5.176
148,135,13,8462823,"Glen Metropolit",C,16,5.171
79,136,-57,8469469,"R.J. Umberger",C,22,5.154
135,137,-2,8470655,"David Backes",C,17,5.088
103,138,-35,8474102,"David Perron",L,20,5.082
136,139,-3,8458529,"Alex Kovalev",R,17,5.045
163,140,23,8468598,"Lubomir Visnovsky",D,15,5.029
220,141,79,8471386,"Scott Parse",L,11,5.012
137,142,-5,8468695,"Matthew Lombardi",C,17,4.992
112,143,-31,8459457,"Jamie Langenbrunner",R,19,4.977
178,144,34,8470741,"Nigel Dawes",L,14,4.954
179,145,34,8475169,"Evander Kane",L,14,4.95
113,146,-33,8460542,"Patrik Elias",C,19,4.949
206,147,59,8467336,"Mike Rupp",L,12,4.902
164,148,16,8474563,"Drew Doughty",D,15,4.871
114,149,-35,8471339,"Ryan Callahan",R,19,4.862
92,150,-58,8474091,"Brandon Sutter",C,21,4.797
122,151,-29,8467545,"Michael Ryder",R,18,4.727
138,152,-14,8458537,"Ray Whitney",L,17,4.704
207,153,54,8471735,"Keith Yandle",D,12,4.681
193,154,39,8470273,"Ian White",D,13,4.68
180,155,25,8473579,"Nikolay Kulemin",L,14,4.677
104,156,-52,8471669,"Paul Stastny",C,20,4.658
105,157,-52,8466138,"Joe Thornton",C,20,4.646
208,158,50,8470622,"Patrick Eaves",R,12,4.613
221,159,62,8470144,"Frans Nielsen",C,11,4.587
272,160,112,8475105,"Dan Sexton",R,9,4.555
181,161,20,8467334,"Manny Malhotra",C,14,4.501
194,162,32,8465024,"Jon Sim",L,13,4.49
149,163,-14,8468432,"Steve Reinprecht",C,16,4.457
222,164,58,8470920,"David Clarkson",R,11,4.451
243,165,78,8470047,"Valtteri Filppula",C,10,4.401
106,166,-60,8471682,"Devin Setoguchi",R,20,4.376
209,167,42,8473573,"Artem Anisimov",C,12,4.369
150,168,-18,8473512,"Claude Giroux",C,16,4.365
210,169,41,8467881,"Taylor Pyatt",L,12,4.348
165,170,-5,8467096,"Dan Boyle",D,15,4.344
223,171,52,8467396,"Erik Cole",L,11,4.341
182,172,10,8469581,"Kyle Wellwood",C,14,4.327
195,173,22,8470072,"Petr Prucha",R,13,4.324
183,174,9,8460562,"Chris Drury",C,14,4.283
139,175,-36,8467899,"Martin Havlat",L,17,4.248
123,176,-53,8471242,"Mike Green",D,18,4.246
184,177,7,8468504,"Brad Boyes",R,14,4.246
211,178,33,8469555,"Christian Ehrhoff",D,12,4.242
196,179,17,8471299,"Peter Regin",C,13,4.168
224,180,44,8470289,"Jim Slater",C,11,4.163
140,181,-41,8471260,"Blake Comeau",L,17,4.133
225,182,43,8467502,"Ales Kotalik",R,11,4.12
115,183,-68,8471346,"Kris Versteeg",L,19,4.118
116,184,-68,8469622,"Ryane Clowe",L,19,4.082
166,185,-19,8469474,"Colby Armstrong",R,15,4.063
244,186,58,8459640,"Michael Grier",R,10,4.039
185,187,-2,8471220,"Rostislav Olesz",L,14,4.012
245,188,57,8471699,"Andrew Cogliano",C,10,4.006
186,189,-3,8467878,"Tim Connolly",C,14,3.934
197,190,7,8467964,"Mike Comrie",C,13,3.927
246,191,55,8467493,"Chris Neil",R,10,3.926
41,192,-151,8470621,"Corey Perry",R,27,3.91
296,193,103,8471266,"David Booth",L,8,3.906
151,194,-43,8464989,"Matt Cullen",C,16,3.898
152,195,-43,8449895,"Owen Nolan",R,16,3.892
297,196,101,8460492,"Ed Jovanovski",D,8,3.892
212,197,15,8469765,"Marc-Andre Bergeron",D,12,3.875
198,198,0,8468208,"Joel Ward",R,13,3.869
298,199,99,8464956,"Chris Phillips",D,8,3.864
199,200,-1,8473534,"Patrik Berglund",C,13,3.855
187,201,-14,8470281,"Duncan Keith",D,14,3.813
141,202,-61,8471678,"Benoit Pouliot",L,17,3.812
167,203,-36,8467967,"Chris Kelly",C,15,3.797
200,204,-4,8467423,"Shawn Horcoff",C,13,3.775
247,205,42,8459424,"Chris Pronger",D,10,3.768
273,206,67,8473537,"Viktor Stalberg",L,9,3.767
168,207,-39,8471185,"Curtis Glencross",L,15,3.761
226,208,18,8473492,"Matt Beleskey",L,11,3.75
201,209,-8,8458229,"Keith Tkachuk",L,13,3.731
227,210,17,8458951,"Sergei Gonchar",D,11,3.715
70,211,-141,8468085,"Radim Vrbata",R,23,3.683
248,212,36,8470207,"Joffrey Lupul",L,10,3.652
383,213,170,8469476,"Tim Gleason",D,5,3.632
202,214,-12,8471311,"Tyler Kennedy",R,13,3.628
325,215,110,8469470,"Carlo Colaiacovo",D,7,3.609
228,216,12,8467466,"Trent Hunter",R,11,3.602
169,217,-48,8466149,"Daniel Cleary",R,15,3.593
80,218,-138,8470606,"Dustin Brown",R,22,3.577
229,219,10,8474574,"Tyler Myers",D,11,3.545
299,220,79,8468635,"Travis Moen",L,8,3.544
153,221,-68,8474161,"Jakub Voracek",R,16,3.54
300,222,78,8474569,"Colin Wilson",C,8,3.529
249,223,26,8464977,"Dainius Zubrus",L,10,3.528
188,224,-36,8469462,"Tuomo Ruutu",L,14,3.525
93,225,-132,8467412,"Alexei Ponikarovsky",L,21,3.506
274,226,48,8467917,"Jordan Leopold",D,9,3.492
230,227,3,8469508,"Jay McClement",C,11,3.455
326,228,98,8465200,"Tomas Kaberle",D,7,3.44
213,229,-16,8468700,"Paul Gaustad",C,12,3.425
203,230,-27,8473412,"Bryan Little",C,13,3.416
170,231,-61,8466251,"Jason Chimera",L,15,3.398
250,232,18,8470966,"Mark Giordano",D,10,3.387
251,233,18,8468575,"Dominic Moore",C,10,3.385
275,234,41,8460541,"Richard Park",R,9,3.382
231,235,-4,8470755,"Brad Richardson",R,11,3.369
154,237,-83,8470834,"Dustin Byfuglien",R,16,3.364
232,236,-4,8471310,"Dustin Boyd",C,11,3.364
233,238,-5,8471450,"Brandon Yip",R,11,3.356
171,239,-68,8474037,"James van Riemsdyk",L,15,3.352
189,240,-51,8474573,"Josh Bailey",L,14,3.307
172,241,-69,8462038,"Shane Doan",R,15,3.302
301,242,59,8475098,"Tyler Bozak",C,8,3.299
252,243,9,8468309,"Mark Streit",D,10,3.272
276,244,32,8457063,"Nicklas Lidstrom",D,9,3.263
253,245,8,8462196,"Stephane Robidas",D,10,3.241
327,246,81,8471657,"Cody McLeod",L,7,3.239
234,247,-13,8470649,"Patrick O'Sullivan",C,11,3.224
190,248,-58,8462041,"Radek Dvorak",R,14,3.204
204,249,-45,8466035,"Sergei Samsonov",L,13,3.156
328,250,78,8467856,"Brian Rafalski",D,7,3.133
254,251,3,8471842,"Tim Kennedy",L,10,3.087
124,252,-128,8450725,"Mark Recchi",R,18,3.077
235,253,-18,8470608,"Robert Nilsson",C,11,3.076
236,254,-18,8469812,"Chad LaRose",R,11,3.074
352,255,97,8468789,"Jason Williams",C,6,3.068
205,256,-51,8470543,"Chris Kunitz",L,13,3.058
214,257,-43,8459461,"Brendan Morrison",C,12,3.048
215,258,-43,8473504,"Cal Clutterbuck",R,12,3.019
353,259,94,8467496,"Andrei Markov",D,6,3.016
277,260,17,8468611,"Matt Hendricks",L,9,3.013
255,261,-6,8465025,"Arron Asham",R,10,2.955
384,262,122,8473546,"Michael Grabner",R,5,2.954
237,263,-26,8468172,"Ruslan Fedotenko",L,11,2.914
256,264,-8,8470877,"David Jones",R,10,2.907
302,265,37,8471274,"Alex Goligoski",D,8,2.867
238,266,-28,8468224,"Sean Avery",L,11,2.855
216,268,-52,8469473,"Marcel Goc",C,12,2.85
257,267,-10,8465059,"Matt Bradley",R,10,2.85
217,269,-52,8467351,"Scott Gomez",C,12,2.848
258,270,-12,8470602,"Dion Phaneuf",D,10,2.838
303,271,32,8466142,"Eric Brewer",D,8,2.838
259,272,-13,8470230,"Daniel Paille",L,10,2.832
329,273,56,8470615,"Marc-Antoine Pouliot",C,7,2.831
304,274,30,8456887,"Vyacheslav Kozlov",L,8,2.817
305,275,30,8470054,"Keith Ballard",D,8,2.813
306,276,30,8466398,"Tom Kostopoulos",R,8,2.812
218,277,-59,8470666,"Daniel Carcillo",L,12,2.806
278,278,0,8473544,"Derick Brassard",C,9,2.76
239,279,-40,8471691,"Martin Hanzal",C,11,2.758
240,280,-40,8470609,"Steve Bernier",R,11,2.752
279,281,-2,8469467,"Chuck Kobasew",R,9,2.739
307,282,25,8470803,"Kyle Brodziak",C,8,2.737
125,283,-158,8460621,"Daniel Alfredsson",R,18,2.716
260,284,-24,8470176,"Sean Bergenheim",L,10,2.688
385,285,100,8468927,"Steve Montador",D,5,2.673
386,286,100,8474578,"Erik Karlsson",D,5,2.662
354,287,67,8470137,"Joni Pitkanen",D,6,2.618
355,288,67,8471729,"Kris Russell",D,6,2.612
308,289,19,8470274,"Chris Higgins",L,8,2.611
330,290,40,8473574,"Shawn Matthias",C,7,2.586
331,291,40,8470620,"Jeff Tambellini",L,7,2.572
356,292,64,8471245,"Dave Bolland",C,6,2.559
332,293,39,8465009,"Zdeno Chara",D,7,2.554
333,294,39,8459053,"Adrian Aucoin",D,7,2.543
309,295,14,8465202,"Sami Salo",D,8,2.521
334,296,38,8470302,"Patrick Dwyer",R,7,2.491
310,297,13,8473682,"Andrew Ebbett",C,8,2.471
261,298,-37,8474567,"Zach Bogosian",D,10,2.468
241,299,-58,8470180,"Eric Nystrom",L,11,2.465
262,300,-38,8459427,"Rob Niedermayer",C,10,2.465
280,301,-21,8467543,"Toby Petersen",C,9,2.455
281,302,-21,8473473,"Milan Lucic",L,9,2.435
357,303,54,8471436,"Matt Hunwick",D,6,2.43
311,304,7,8473446,"Erik Johnson",D,8,2.427
263,305,-42,8470778,"Drew Miller",L,10,2.421
282,306,-24,8445735,"Rod Brind'Amour",C,9,2.416
283,307,-24,8471498,"Jannik Hansen",R,9,2.4
264,308,-44,8468518,"Tomas Kopecky",R,10,2.397
284,309,-25,8458517,"Scott Niedermayer",D,9,2.378
335,310,25,8446485,"Kris Draper",C,7,2.375
336,311,25,8471238,"Rob Schremp",C,7,2.351
285,312,-27,8473422,"Nick Foligno",L,9,2.34
312,313,-1,8459534,"Miroslav Satan",R,8,2.337
358,314,44,8472382,"Andy Greene",D,6,2.313
337,315,22,8470662,"Colin Fraser",C,7,2.273
387,316,71,8467400,"Francois Beauchemin",D,5,2.263
388,317,71,8468493,"Ron Hainsey",D,5,2.236
338,318,20,8470268,"Denis Grebeshkov",D,7,2.23
313,319,-6,8471323,"Ryan Jones",L,8,2.227
286,320,-34,8471362,"Mikhail Grabovski",C,9,2.198
359,321,38,8470724,"Kyle Quincey",D,6,2.195
360,322,38,8466216,"Adam Mair",C,6,2.173
389,323,66,8467882,"Jamie Lundmark",C,5,2.17
339,324,15,8470280,"Ben Eager",L,7,2.153
314,325,-11,8467361,"Blair Betts",C,8,2.15
340,326,14,8466285,"Brian Campbell",D,7,2.149
361,327,34,8469547,"Jordin Tootoo",R,6,2.147
287,328,-41,8459587,"Todd Marchant",C,9,2.137
288,329,-41,8469543,"Evgeny Artyukhin",R,9,2.122
315,330,-15,8469759,"Vernon Fiddler",C,8,2.118
316,331,-15,8468520,"Kurtis Foster",D,8,2.101
317,332,-15,8471686,"Marc Staal",D,8,2.099
419,333,86,8468501,"Anton Volchenkov",D,4,2.086
289,334,-45,8471388,"Patrick Kaleta",R,9,2.075
265,335,-70,8459574,"Darcy Tucker",R,10,2.069
341,336,5,8469466,"Ales Hemsky",R,7,2.053
362,337,25,8470309,"Ryan Whitney",D,6,2.045
363,338,25,8470640,"Matthew Carle",D,6,2.027
364,339,25,8466215,"Joe Corvo",D,6,1.99
318,340,-22,8456966,"Robert Lang",C,8,1.988
290,341,-51,8467831,"Jeff Halpern",C,9,1.961
319,342,-23,8469664,"David Moss",R,8,1.952
390,343,47,8470905,"Randy Jones",D,5,1.946
365,344,21,8470828,"Toby Enstrom",D,6,1.941
342,345,-3,8471859,"Sergei Kostitsyn",L,7,1.93
343,346,-3,8460770,"Kim Johnsson",D,7,1.904
420,347,73,8472263,"Chris Durno",L,4,1.897
391,348,43,8470104,"Tom Gilbert",D,5,1.871
242,349,-107,8471794,"Darren Helm",C,11,1.853
344,350,-6,8445550,"Rob Blake",D,7,1.849
291,351,-60,8474584,"Michael Del Zotto",D,9,1.845
345,352,-7,8469670,"Marek Svatos",R,7,1.844
346,353,-7,8460567,"Chris Clark",R,7,1.831
392,354,38,8470187,"Johnny Boychuk",D,5,1.829
393,355,38,8474053,"Logan Couture",C,5,1.821
292,356,-64,8460504,"Ethan Moreau",L,9,1.819
320,357,-37,8470580,"Jed Ortmeyer",R,8,1.805
366,358,8,8469755,"Brandon Segal",R,6,1.801
367,359,8,8469492,"Fedor Tyutin",D,6,1.798
266,360,-94,8462118,"Marc Savard",C,10,1.787
368,361,7,8471399,"Robbie Earl",L,6,1.747
293,362,-69,8468162,"Jerred Smithson",C,9,1.744
347,363,-16,8470654,"Maxim Lapierre",C,7,1.741
267,364,-97,8473465,"Jamie McGinn",L,10,1.731
294,365,-71,8473932,"Darroll Powe",C,9,1.724
394,366,28,8471283,"Brandon Prust",L,5,1.717
348,367,-19,8468509,"Niklas Kronwall",D,7,1.706
369,368,1,8469623,"Marek Zidlicky",D,6,1.704
467,369,98,8468213,"Jim Vandermeer",D,3,1.703
219,370,-151,8467393,"Jarkko Ruutu",L,12,1.676
395,371,24,8458938,"Roman Hamrlik",D,5,1.65
268,372,-104,8467338,"Alex Tanguay",L,10,1.61
370,373,-3,8470750,"John Mitchell",C,6,1.599
371,374,-3,8465210,"Pavel Kubina",D,6,1.59
372,375,-3,8471371,"Mike Brown",R,6,1.583
468,376,92,8474125,"Carl Gunnarsson",D,3,1.58
373,377,-4,8469770,"Dennis Wideman",D,6,1.576
349,378,-29,8459462,"Bryan McCabe",D,7,1.567
350,379,-29,8466392,"Todd White",C,7,1.558
374,380,-6,8470110,"Trevor Daley",D,6,1.55
396,381,15,8471232,"Lauri Korpikoski",L,5,1.529
421,382,39,8459454,"Jay Pandolfo",L,4,1.529
351,383,-32,8470647,"B.J. Crombeen",R,7,1.526
321,384,-63,8471677,"Jack Johnson",D,8,1.511
322,385,-63,8470299,"Erik Christensen",C,8,1.504
422,386,36,8470619,"Brian Boyle",C,4,1.474
423,387,36,8471807,"Tom Wandell",C,4,1.465
375,388,-13,8471879,"Kyle Cumiskey",D,6,1.464
424,389,35,8464966,"Derek Morris",D,4,1.422
397,390,7,8469465,"Dan Hamhuis",D,5,1.41
469,391,78,8467331,"Brad Stuart",D,3,1.409
470,392,78,8475179,"Dmitry Kulikov",D,3,1.408
398,393,5,8471216,"Cam Barker",D,5,1.407
399,394,5,8471634,"Ryan Shannon",R,5,1.406
400,395,5,8468506,"Brian Sutherby",C,5,1.38
425,396,29,8471628,"Rick Rypien",C,4,1.367
401,397,4,8474568,"Luke Schenn",D,5,1.365
269,398,-129,8468508,"Justin Williams",R,10,1.362
402,399,3,8469685,"Andrew Murray",C,5,1.343
471,400,71,8459648,"Pavol Demitra",R,3,1.338
191,401,-210,8466140,"Olli Jokinen",C,14,1.332
403,402,1,8464994,"Steve Begin",L,5,1.332
523,403,120,8471268,"Victor Oreskovich",R,2,1.328
426,404,22,8468778,"Colton Orr",R,4,1.311
404,405,-1,8470700,"Byron Bitz",R,5,1.309
427,406,21,8473432,"Derek Dorsett",R,4,1.303
472,407,65,8465058,"Michal Rozsival",D,3,1.3
428,408,20,8473646,"Ryan Carter",C,4,1.297
429,409,20,8469619,"Dennis Seidenberg",D,4,1.278
430,410,20,8470678,"Alexandre Picard",D,4,1.274
405,411,-6,8471742,"Cody Franson",D,5,1.269
431,412,19,8460626,"Bryce Salvador",D,4,1.268
270,413,-143,8471309,"Johan Franzen",R,10,1.266
376,414,-38,8459670,"Kimmo Timonen",D,6,1.26
323,415,-92,8475158,"Ryan O'Reilly",C,8,1.255
377,416,-39,8474551,"Ville Leino",L,6,1.252
406,417,-11,8471236,"Andrej Meszaros",D,5,1.252
473,418,55,8460507,"Wayne Primeau",C,3,1.246
432,419,13,8470192,"Steve Eminger",D,4,1.242
433,420,13,8470661,"Jean-Francois Jacques",L,4,1.213
601,421,180,8471222,"Ladislav Smid",D,1,1.19
407,422,-15,8473898,"Paul Szczechura",C,5,1.187
474,423,51,8466292,"Todd Fedoruk",L,3,1.182
408,424,-16,8467304,"Andy Sutton",D,5,1.175
434,425,9,8471476,"Daniel Winnik",C,4,1.174
435,426,9,8475167,"Victor Hedman",D,4,1.162
436,427,9,8465042,"Toni Lydman",D,4,1.158
475,428,47,8467439,"Jaroslav Spacek",D,3,1.157
155,429,-274,8467346,"Simon Gagne",L,16,1.155
476,430,46,8471724,"Kris Letang",D,3,1.143
437,431,6,8474218,"Jason Demers",D,4,1.123
477,432,45,8471521,"Brad Staubitz",R,3,1.121
524,433,91,8473536,"James Sheppard",L,2,1.095
438,435,3,8459024,"Jere Lehtinen",R,4,1.094
